movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
fivefeetapartfilm,1.4564538,0.4782831,2.9425561,1.996171,1.6189034,1.6007891,1.2523553,1.2557173,2.4398243,1.9923971,1.9498109,2.0679617,2.3286648,2.3415198,2.6055713,0.74095374,0.0,1.842123,0.67510426,1.5872121,1.3720032,1.5450636,2.7763467,1.6356066,0.38733777
fordvferrari,0.53602374,0.31953096,1.0912629,0.87795496,0.42965922,0.78833514,0.5537581,0.46084166,0.9878857,0.8014219,0.8091042,0.781446,1.0129138,0.61016834,0.81032157,0.37053782,0.0,0.82592654,0.64042526,0.4055128,0.65188235,0.43017155,1.2167399,1.0376444,0.31430602
freaksthefilm,0.67219704,0.4249907,1.1767482,0.7902103,0.59948075,0.5933033,0.773734,0.57065964,1.2147387,1.2967086,1.1805046,0.5781773,1.1999618,0.98451465,1.0332013,0.38210985,0.0,0.7464404,0.59664595,0.5541069,0.71856713,0.50777036,1.3264579,0.9158193,0.44375175
geminimanmovie,0.6908324,0.67585397,1.3774091,1.1993686,0.6687137,0.6764294,0.9780198,0.55796033,1.2597431,1.3453655,1.0330043,0.8606563,1.3139505,0.7905717,1.2226067,0.5819022,0.0,0.8327699,0.9035994,0.76800567,0.6530963,0.92587805,1.515979,1.3041855,0.75659066
glassmovie,0.5729896,0.6092261,1.032994,0.94752645,0.30189332,0.85332674,0.8523093,0.6036929,1.0900234,1.3021019,0.9187376,0.8865429,1.0310816,0.6474889,1.1718873,0.5044017,0.0,0.822626,0.84362644,0.5718543,0.75482416,0.8330606,1.4003892,1.4110101,0.755277
gloriabellmovie,0.5590626,0.4572664,0.7803026,0.8134552,0.5225775,0.7958129,0.695792,0.5367168,0.7734993,1.1365266,0.84974205,0.6259832,0.58937114,0.45279458,0.99032426,0.5216428,0.0,0.7002331,0.739705,0.59371823,0.624651,0.55572426,1.0526236,0.872552,0.5716022
godzillamovie,0.33396453,0.80852115,0.90316737,0.6799447,0.46527997,0.580614,0.8511764,0.7288109,0.9578591,1.2325705,1.1017745,0.7133485,1.1033963,0.5464827,1.1307595,0.68634653,0.0,0.4470133,1.0575749,0.767009,0.48607606,0.5946779,1.0529094,0.8376053,0.7431637
goldfinchmovie,0.6608326,0.4031523,1.3924603,1.1931717,0.49918538,0.8344819,0.87660646,0.6443762,1.2747781,1.161985,0.80409366,1.2660642,1.3529389,0.37162837,1.0520391,0.767304,0.0,0.64368045,0.80403405,0.76358557,0.967103,0.7041241,1.347729,1.0509317,0.58890784
goodboysmovie,0.8628421,0.51373595,1.262555,1.2261106,0.73595953,0.7197613,0.74531007,0.6483759,0.9300041,1.4837599,1.3590443,0.7458815,0.7783154,0.7704889,1.3607976,0.42672393,0.0,0.80043805,0.84973276,0.7930693,0.6555052,0.73772883,1.3119813,0.8949445,0.62577397
goodliarmovie,0.82979745,0.5796485,1.3209052,0.9447764,0.48384336,0.81217164,0.5691409,0.6078476,1.2546997,1.3220141,0.9673727,1.0827047,1.1508911,0.9682818,1.4476321,0.6573401,0.0,1.2399881,0.9849191,1.0945882,0.9727386,0.78614813,1.714541,1.0981321,0.63947153
