movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
bernadettefilm,0.3404209,0.45535716,0.6891747,0.39953408,0.8812736,0.39198923,0.34443372,0.626322,0.25544378,0.3665719,0.32871783,0.33606943,0.43192586,0.22660536,0.9473,0.0,0.0,0.6997957,0.33434692,0.0,0.5881821,0.12584609,0.6858878,0.7991564,0.8358556,0.57089686,0.0,0.64249945,0.84857655,0.5972868,0.9038298,0.5942892,0.28932542,0.7466271,0.0,0.3402415,0.30744383,0.0,0.4476494,0.8467214,0.0,0.7855567,0.90388817,0.0,0.31684804,0.2779627,0.5691685,0.30490932,0.8373374,0.0
blackandbluemovie,1.0097215,0.2117976,0.82236683,0.78490454,1.5201644,0.8563017,1.058289,1.0166285,0.46763942,0.38070187,1.0942991,1.0786494,1.0309036,0.11137706,1.5733156,0.0,0.0,1.1977881,1.2873414,0.0,1.3530909,0.060924746,1.047957,0.9060652,1.2528452,0.895896,0.0,1.776974,1.6603831,0.92818797,1.3695863,0.9680675,0.7724867,1.195028,0.0,0.5928753,0.9090815,0.0,0.70252174,0.91102207,0.0,0.8962407,0.94330204,0.0,0.665494,0.5369798,0.7133858,1.3308847,1.2386562,0.0
blackchristmas,0.573196,0.2855705,0.6289282,0.26142514,0.8287726,0.231289,0.39042592,0.5883997,0.4621095,0.3314051,0.375679,0.353681,0.5825436,0.084436566,0.9294136,0.0,0.0,0.6412929,0.64617723,0.0,0.712934,0.13342436,0.6400268,0.44479036,0.80557394,0.56768525,0.0,0.6904079,0.82020557,0.46801227,0.76418656,0.35381186,0.2806572,0.6251624,0.0,0.5606539,0.34627232,0.0,0.2676908,0.48021463,0.0,0.60014534,0.5671327,0.0,0.46293783,0.4400545,0.24342678,0.55607605,0.76718616,0.0
blindedbythelightmovie,0.30095157,0.25915974,0.47479385,0.21670315,0.5180299,0.2673275,0.336959,0.41609666,0.19711855,0.23042473,0.28444058,0.20229617,0.27577582,0.14971213,0.5415788,0.0,0.0,0.45725095,0.30535847,0.0,0.29800645,0.2977778,0.36916313,0.36096874,0.41943276,0.4212471,0.0,0.4877482,0.5610795,0.4625774,0.5344161,0.30388024,0.26740992,0.48899323,0.0,0.28003973,0.3265761,0.0,0.23495856,0.35490942,0.0,0.29331848,0.5076493,0.0,0.33396074,0.20155959,0.25460094,0.2719325,0.4843611,0.0
bombshellmovie,0.40483612,0.108243205,0.5734054,0.32405832,0.6190452,0.31588048,0.40750837,0.37114918,0.04202497,0.09649192,0.523792,0.42751873,0.19239208,0.16652684,0.7193734,0.0,0.0,0.42753935,0.49917448,0.0,0.5290133,0.002861742,0.5426738,0.3441372,0.49015337,0.4626028,0.0,0.4352513,0.6522012,0.53806084,0.50509983,0.3236648,0.22947028,0.6606355,0.0,0.2506546,0.38759664,0.0,0.5576966,0.61408526,0.0066120364,0.4831727,0.5534987,0.0,0.41922513,0.3486758,0.17086801,0.561418,0.6145822,0.0
booksmart,0.15421738,0.0,0.17452404,0.036901284,0.24244982,0.036070358,0.059584264,0.16021194,0.0415694,0.0,0.12280803,0.20812412,0.21582775,0.07509611,0.13198195,0.0,0.0,0.11240086,0.17772761,0.0040675197,0.20486592,0.0,0.10813725,0.16590244,0.0031248294,0.112371765,0.0,0.044005163,0.061199974,0.023579285,0.06416207,0.14750871,0.03327724,0.2555182,0.079308555,0.17121153,0.0,0.03247194,0.30544472,0.29073557,0.010931644,0.030022634,0.16381016,0.049405795,0.19536175,0.017466098,0.18854672,0.2098602,0.05679666,0.0
breakthroughmovie,0.96654326,0.3083577,0.68237066,0.42252392,1.1823777,0.2855109,0.70403594,0.85013646,0.3889849,0.31932345,1.0969665,0.74528205,0.8358078,0.052420836,1.4697039,0.0,0.0,0.97997844,0.71860933,0.0,0.99930704,0.29921636,0.83209205,1.0662593,1.1368295,0.41926852,0.0,1.1605448,1.5836864,0.7808643,1.4978758,0.9012104,0.12585239,1.064714,0.0,0.45545405,0.6945035,0.0,0.7749756,0.82596916,0.048008326,0.9745717,1.0346732,0.0,0.33009517,0.3484968,0.8990462,1.0271387,0.9231962,0.0
brianbanksmovie,0.6211354,0.42038912,0.69875944,0.41472054,1.0291932,0.4490167,0.43915635,0.88718235,0.47942996,0.53216904,0.6309625,0.58281523,0.40725008,0.0,1.220965,0.0,0.0,0.6670612,0.757557,0.0,0.7610723,0.06561077,0.7495246,0.81658995,0.9968666,0.570256,0.0,0.7461177,1.0894431,0.580444,1.195574,0.59237325,0.41849223,0.7332898,0.0,0.37392116,0.6488351,0.0,0.36091548,0.72089183,0.0,0.9327464,0.9319374,0.0,0.49941683,0.37044892,0.6989099,0.30117238,0.98593086,0.0
brightburnmovie,0.54354644,0.228071,0.53690916,0.3626185,0.9077068,0.20040797,0.44493312,0.63028467,0.30044502,0.25718874,0.6292632,0.39926505,0.58349276,0.12892619,0.95349914,0.0,0.063692,0.71219105,0.56621516,0.0,0.69580054,0.10569514,0.5073226,0.7378545,0.78477824,0.48084357,0.0,0.86842,0.90137935,0.45688462,0.8670668,0.3028892,0.3714751,0.75088465,0.0,0.29690662,0.5183666,0.0,0.41444665,0.46359235,0.0,0.5680002,0.6412748,0.0,0.5441123,0.36389014,0.36391962,0.49849245,0.6623427,0.0
brittanyrunsmov,0.14844774,0.21174027,0.32175478,0.10716447,0.26126215,0.3005873,0.18805996,0.41457304,0.1756311,0.120802246,0.26682466,0.15476342,0.3174576,0.18928115,0.45439625,0.0,0.0,0.35852236,0.38318273,0.0,0.3494909,0.11752997,0.41075438,0.17783588,0.47818047,0.33131582,0.0,0.3969555,0.4459569,0.48008272,0.46254134,0.3030659,0.3628574,0.43721735,0.0,0.28576535,0.32980534,0.0,0.1646324,0.32361358,0.0,0.31212455,0.4346619,0.0,0.26315722,0.2830879,0.16240592,0.21674107,0.5490134,0.0
captainmarvelofficial,0.4459263,0.34210503,0.48430413,0.19214481,0.85826963,0.28699663,0.534561,0.52098143,0.27807423,0.4440147,0.47980258,0.49775437,0.6141969,0.14119236,0.6855233,0.0,0.0,0.63819814,0.60519457,0.0,0.67209923,0.060807273,0.46976417,0.6243335,0.8368122,0.5368576,0.0,0.8239944,0.8801445,0.5172508,0.62747496,0.51245594,0.38615072,0.6197243,0.0,0.32064754,0.51144433,0.0,0.48667258,0.5772367,0.0,0.60507125,0.5116416,0.0,0.38108155,0.4241815,0.3265373,0.42542377,0.7469805,0.0
captivestatemovie,0.6721289,0.55630744,0.5751382,0.5857066,0.78647715,0.53629297,0.37832934,0.6368068,0.40020996,0.42161965,0.63006914,0.5004807,0.4799571,0.18427591,0.9001097,0.0,0.0,0.80958444,0.6713001,0.0,0.7339575,0.17563029,0.4924666,0.5773016,0.6846503,0.5820297,0.0,0.813764,1.0410968,0.44154114,0.9045911,0.59194946,0.3636703,0.67976797,0.0,0.45852703,0.7043402,0.0,0.57413673,0.5866238,0.12824363,0.63415974,0.82578033,0.0,0.58437836,0.5799927,0.3728911,0.6665946,1.0482254,0.0
catsmovie,0.5761243,0.33924153,0.4013528,0.29453596,1.3535868,0.57031256,0.90189856,1.0731145,0.7962763,0.30013493,0.6460899,0.6183,0.4196045,0.08284844,1.5809228,0.0,0.0,1.0292853,1.3224622,0.0,1.1647172,0.13181308,0.76824594,0.39349392,1.4258804,0.9056828,0.0,1.1486408,0.9007422,0.53898,0.98273367,0.6228976,0.7890482,1.2044853,0.0,0.7651398,0.84413,0.0,0.3071354,0.16571581,0.0,0.5698349,0.5308397,0.0,0.4218524,0.38480747,0.409905,0.3653423,0.8789223,0.0
charliesangels,0.94713724,0.3763497,0.8118349,0.079185404,1.3703117,0.11424586,0.476124,1.0201187,0.7425352,0.09239226,1.1638137,0.30940288,0.8479006,0.3042781,1.2214713,0.0,0.0,1.0622882,1.0335178,0.0,0.9728905,0.23309305,0.9153609,0.8932227,1.0460395,0.58857566,0.0,1.1129493,1.5820304,0.8562121,1.2317154,0.54760766,0.24157405,1.18682,0.0,0.5453939,0.5749818,0.0,0.60684854,0.9380903,0.0,1.0221229,1.0050129,0.0,0.5909974,0.7880901,0.67985696,1.0662643,1.3254225,0.0
childsplaymovie,0.7998765,0.3884781,0.5152607,0.0220894,1.1793067,0.143582,0.78619707,0.54988307,0.0,0.21164264,0.7996827,0.38228118,0.6935419,0.0,0.8453197,0.0,0.0,1.0864875,0.33478966,0.0,0.71662486,0.0,0.7720332,1.2385069,0.99831873,0.5893919,0.0,1.0276544,1.2140582,0.7991965,1.6374533,0.9225315,0.47003958,1.1093118,0.0,0.5301194,0.7111044,0.0,0.65729564,1.1764206,0.0,1.1381558,0.9975416,0.0,0.5963362,0.26484272,0.9573365,0.9827654,0.80869615,0.0
clarathefilm,0.0,0.10847495,0.0,0.0,0.36655644,0.34154406,0.37966847,0.83454657,0.0,0.0,0.16332722,0.053625226,0.36058635,0.0,0.32576528,0.0,0.0,0.46794218,0.15772782,0.0,0.41480622,0.0116596315,0.2784625,0.6118591,0.60284054,0.06716232,0.0,0.5484948,0.62821305,0.46930417,0.6893449,0.70636487,0.29476005,0.62306553,0.0,0.0,0.60715646,0.118568376,0.0035952032,0.48044536,0.0,0.6124868,0.80074626,0.0,0.050040808,0.0,0.82438916,0.53257066,0.36257356,0.0
coldpursuitmovie,0.3892178,0.16501254,0.41901338,0.27833605,0.45546913,0.14500146,0.3176599,0.40755317,0.2648987,0.18274063,0.27675292,0.3937962,0.38092968,0.09999241,0.54940367,0.0,0.0,0.6816866,0.4351661,0.0,0.44695875,0.20308861,0.3664462,0.4016905,0.54493165,0.50484467,0.0,0.4776781,0.55383086,0.42337483,0.58904433,0.4349265,0.27399105,0.4997623,0.0,0.31546485,0.3201226,0.0,0.38833994,0.32977295,0.0,0.52349025,0.523173,0.0,0.3777418,0.29087338,0.1802472,0.2091819,0.4776926,0.0
countdown,0.74273914,0.20354095,0.712854,0.6416673,0.88253534,0.4949556,0.39150226,0.74438053,0.45111892,0.2670765,0.4853632,0.8279113,0.6987337,0.29487133,1.0871811,0.0,0.0,0.8830061,1.1192542,0.0,1.1883032,0.0,0.85828245,0.93337715,1.2241185,0.532867,0.0,0.7073448,0.95271385,0.6009717,1.2007027,0.9756701,0.5487068,1.0333306,0.0,0.4563111,0.566567,0.0,0.3259771,0.68099034,0.0,1.2206018,0.84848475,0.0,0.6950571,0.46773812,0.5375447,0.37714827,1.1264726,0.0
currentwarmovie,0.68313205,0.2649522,0.81476116,0.24883175,0.7270093,0.45613295,0.34601158,0.6426663,0.31386805,0.22100039,0.59739655,0.6459924,0.80334485,0.18188289,0.99768966,0.0,0.0,0.9506249,0.79536813,0.0,0.8959751,0.030221863,0.53585815,0.7519547,0.7935472,0.5255465,0.0,0.7393352,0.928952,0.7747104,1.077878,0.84773874,0.38009495,1.006858,0.0,0.5611418,0.3265778,0.0,0.74565035,0.6508515,0.0,0.97042614,1.03737,0.0,0.34518743,0.3691596,0.6209665,0.7830079,0.72223383,0.0
darkwatersmovie,0.6005448,0.67939794,1.0342764,0.72193366,0.8603808,0.48416469,0.39388925,0.7564674,0.61222076,0.65837526,0.5816969,0.78883296,0.77041113,0.38429484,1.3302381,0.0,0.0,1.1583711,0.89869064,0.0,1.0593277,0.0,0.844401,0.943822,1.1006734,0.697817,0.0,0.8017447,1.3135616,0.72096586,1.2189854,0.70691454,0.677179,1.0445548,0.0,0.6775567,0.43576163,0.0,0.7250342,0.813807,0.0,1.299735,0.8333805,0.0,0.51707834,0.50037,0.48857042,0.55905664,1.1088504,0.0
detectivepikachumovie,0.40040284,0.0,0.618655,0.26555067,0.8525484,0.5525618,0.2780568,0.91546935,0.0,0.0,0.32894015,0.66360897,0.70888174,0.06027681,0.714616,0.0,0.0,0.6698958,0.7205481,0.0,0.8027872,0.0,0.692266,0.7278309,0.8182034,0.40931082,0.0,0.59355044,0.7141192,0.5669191,0.73780715,0.6199857,0.49472308,0.87086636,0.0,0.45198417,0.5558673,0.03386169,0.19226632,0.53997856,0.0,0.74459606,0.92119384,0.0,0.576796,0.27284953,0.70903045,0.8345761,0.61672187,0.0
disneyaladdin,0.7188173,0.4311624,0.94994354,0.20872483,0.9586995,0.45933557,0.42666078,1.0395442,0.48176685,0.26638493,0.83336735,0.8567796,0.6401048,0.35405335,1.2588761,0.0,0.0,1.2768213,0.99629396,0.0,1.2010158,0.15810761,0.9553584,0.8381789,1.0670123,0.8781638,0.0,0.92961466,1.2931602,1.0125693,1.3047419,0.5680779,0.69959223,1.1018518,0.0,0.75860155,0.60249025,0.0,0.93271565,0.8464828,0.0,1.0647237,1.0995697,0.0,0.6120778,0.6221291,0.58748657,0.5606532,0.94289815,0.0
disneyfrozen,1.1619647,0.3126627,1.0792489,0.44129932,0.748104,0.5933444,0.7279192,0.63174176,0.32127228,0.056971874,0.4860256,0.9388991,0.8452182,0.6222388,1.2166921,0.0,0.0,1.2598549,0.70058686,0.0,1.4195967,0.2547825,1.0467843,0.8392774,1.1471248,0.9515923,0.0,1.0714355,1.2218022,0.97553587,1.2305865,0.6953676,0.82278097,1.162462,0.0,0.6430023,0.38068417,0.0,0.61583525,1.0071714,0.0,1.1886011,0.92008436,0.0,0.7465858,0.3567406,0.53271776,0.8370027,1.0436993,0.0
disneymaleficent,0.7173795,0.31656826,0.80979097,0.1735675,0.6847133,0.27027756,0.34909093,0.9433694,0.5346918,0.2144219,0.65216607,0.7042291,0.30619752,0.17420806,1.1323986,0.0,0.0,1.0871098,0.7309727,0.0,0.8911469,0.31661442,0.87552154,0.6623591,0.8877353,0.7084773,0.0,0.7348813,1.0829605,0.81699127,1.0546602,0.57353806,0.3843069,0.9846386,0.0,0.6519635,0.49689227,0.0,0.6682335,0.54134357,0.0,0.8954239,0.7859748,0.0,0.41655275,0.39572853,0.36385232,0.4340032,0.6956296,0.0
doctorsleepmovie,0.7372827,0.28854948,0.8023101,0.34647003,0.7155657,0.36167544,0.59512407,0.51943916,0.18828039,0.20891964,0.52492446,0.5220831,0.6168091,0.24801691,0.79430425,0.0,0.0,0.938286,0.6606112,0.0,0.7114221,0.16125666,0.66724086,0.65152454,0.8648617,0.5712155,0.0,0.8867763,1.0368701,0.6919399,0.93813586,0.5831927,0.43392855,0.8005842,0.0,0.511937,0.45920172,0.0,0.69823986,0.6550132,0.0,0.71888506,0.6551494,0.0,0.6164926,0.46578476,0.26639226,0.50517535,0.764622,0.0
dolemiteismyname,0.49180013,0.3714858,0.6827651,0.52315336,1.1395568,0.85201603,0.47396898,0.86656904,0.29456964,0.28026965,0.552938,0.6575652,0.46215355,0.0,1.623924,0.0,0.0,1.0473853,0.93337446,0.0,0.9617392,0.02881572,0.9494008,0.9079701,1.2339888,0.63443965,0.0,0.98890066,1.488772,0.88155705,1.3204592,0.9360416,0.57744575,1.1401917,0.0,0.64899695,0.67709124,0.0,0.3316275,1.0532458,0.0,1.3817745,0.98029196,0.0,0.44574428,0.25808075,0.6322294,0.8140062,1.2520245,0.0
