movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
readyornotfilm,1.7980855,1.3626989,0.7115511,1.5613856,1.57351,1.15864,1.2351876,0.19634946,0.97076505,0.0,0.45541593,1.2625327,0.0,1.0119115,1.5592242
richardjewellfilm,1.9864565,1.3514316,0.65638745,1.5731077,1.4779745,1.3008184,1.4627727,0.38175654,0.88026345,0.0,0.8927548,1.1381863,0.0,0.7025835,1.4040381
rocketmanmovie,1.95313,1.5489782,1.077693,0.8994003,1.4018778,0.9362099,1.0468097,0.6472579,0.75948983,0.0,0.8938228,1.3166485,0.0,0.93322104,1.2182834
scarystoriesmovie,1.6452928,1.1402136,0.8502594,1.5283401,1.4203751,1.2764789,1.6305131,0.36157632,1.1075215,0.0,0.8818226,1.2210604,0.0,1.0020208,1.6059078
secretlifeofpets,1.9252279,0.7116083,0.075512886,0.6825745,1.6757796,0.070539266,0.0,0.53518283,1.0140284,0.0,0.4564301,1.0356293,0.8416165,0.059024557,1.7995648
serenityfilm,1.6587988,1.3514835,0.67019874,1.6168308,1.3958268,1.5247965,1.5347638,0.2829706,0.8176338,0.0,0.7465309,1.2566434,0.0,0.91990536,1.1683916
shaftmovie,1.6347609,1.5293229,0.5737596,1.4591649,1.5610552,1.4826099,1.2914728,0.73021054,0.44950858,0.0,0.87331986,1.437255,0.10375537,0.6522358,1.3892484
shazammovie,1.9717064,1.3169496,0.0,1.3510194,1.6746354,1.0953532,0.7861906,0.0,1.040213,0.0,0.89201784,1.7981235,0.06838466,0.08253308,1.4571015
spidermanmovie,2.004231,1.3034385,0.35323733,0.6270793,0.65515834,0.99281573,0.32218328,0.0,2.0311856,0.0,0.18023376,0.7036444,0.20052001,0.32803637,1.9297954
spiesindisguise,1.8828814,1.2352554,0.35936052,1.3720909,1.2457442,1.0187707,1.1735991,0.0,0.84869266,0.0,0.60205907,1.3503022,0.02866796,0.26561648,1.3412228
starwars,1.872116,0.0,0.0,1.2212435,1.527728,0.09684177,0.0,0.2742901,0.1057018,0.0,0.0,0.49456036,1.1026807,0.07219904,1.3983206
stormboymovie,1.727049,1.3878915,0.76239,1.5708438,1.5836887,1.2318876,1.5031103,0.65779936,0.59005964,0.0,0.8323121,1.4104142,0.014232401,1.3356048,1.177946
stubermovie,1.0756762,0.6594426,0.40399057,0.8833958,0.8717143,0.8304131,0.83994603,0.48194408,0.5892481,0.0,0.34318134,0.78033096,0.20555344,0.5952479,0.73594815
taosdfilm,1.3442346,1.0283831,0.23617524,1.2545631,1.0357864,0.91622317,0.9902962,0.28402346,0.2182403,0.0,0.7481954,0.9213752,0.0,0.71765107,0.87362427
teenspiritmov,1.2833743,0.6550281,0.0,1.575825,1.6364466,0.701738,0.28234226,0.7138276,0.0,0.0,0.51132846,1.0541053,0.22409119,0.8845833,0.51216465
terminator,1.5565151,1.2216485,0.84958136,1.0319625,1.3716108,0.82156944,0.8685488,0.5247665,0.75871754,0.0,0.6441444,1.4504446,0.0,0.69143444,1.2770152
theaeronautsmov,0.6733893,0.378609,0.36166808,0.7878088,0.6309515,0.67685735,0.5098438,0.16860552,0.43662158,0.0,0.2259345,0.36310393,0.02815539,0.48945785,0.74726355
thebestofenemies,1.7045373,1.1532657,0.34224284,1.7346171,1.5251642,1.1057626,1.3623691,0.15015002,0.7459573,0.0,0.8887124,1.7209508,0.20117788,0.6034637,1.2139747
thedeaddontdie,1.6028639,1.3243477,0.2635119,0.8793177,1.1470131,0.9882413,1.3186338,0.76285654,0.8503059,0.0,1.004364,1.7232308,0.007633332,0.4257779,1.4369026
thefarewell,1.9608815,1.5943198,0.7815059,1.5394236,1.4127147,1.4340013,1.5309495,0.21159871,0.93744177,0.0,1.0163997,1.3947403,0.0,0.9495701,1.6144023
thehighwaymen,0.9906542,0.91043895,0.5457578,1.0442202,1.000798,0.6193807,0.8182012,0.3315394,0.21433789,0.023616107,0.6154543,0.9683055,0.0,0.41330475,0.527098
