movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
fordvferrari,0.3449135,0.29495415,0.51791114,0.0,0.6408786,0.5339196,0.24530491,0.0,0.4642091,0.24990624,0.13900203,0.18476672,0.047593236,0.20081297,0.7007961,0.4062607,0.37529862,0.0,0.0,0.39436883,0.50193477,0.29426566,0.5033211,0.026433015,0.0,0.42796412,0.49918646,0.42493203,0.34320632,0.26203007,0.33502412,0.20741794,0.23894781,0.32109788,0.03415787
freaksthefilm,0.66939354,0.46574572,0.7339977,0.0,1.1495808,0.5721184,0.45486212,0.0,0.7777864,0.48117995,0.84484667,0.34054974,0.40610242,0.50763214,1.2590725,0.55028206,0.64010376,0.10982068,0.0,0.7425028,0.70644367,0.6625955,0.5121754,0.0,0.0,0.2919687,0.47170463,0.6922926,0.963565,0.2216477,0.8167384,0.355165,0.738865,0.5762364,0.03524746
geminimanmovie,0.6686549,0.61449456,0.8805333,0.0,1.2648604,0.76953304,0.2034839,0.0,0.76775396,0.98762155,0.5780026,0.5385578,0.17306387,0.5447009,1.7051183,0.9024385,0.7472943,0.4308523,0.0,0.5598791,0.74285775,1.2251232,0.7164764,0.0,0.0,0.69957155,0.80250543,1.0947461,1.0246685,0.1136041,0.9224367,0.60024786,0.4787513,0.5017142,0.0
glassmovie,0.21482876,0.75600034,0.88008875,0.0,1.1587869,0.96756136,0.29148063,0.0,0.7489792,0.6539705,0.46242824,0.46313033,0.091406465,0.5642171,1.4284365,0.5348228,0.8172679,0.20825723,0.0,0.8567645,0.71295196,0.90729696,0.9345499,0.0,0.0,0.7947059,0.56860834,0.7560613,1.1049428,0.40623888,0.8540945,0.81722134,0.35698146,0.31472516,0.0
gloriabellmovie,0.61048865,0.47754937,0.468682,0.0,0.8905365,0.6443567,0.27878213,0.0,0.65270376,0.5866229,0.55370677,0.28079155,0.22037442,0.3313829,1.1386704,0.7232717,0.5328527,0.3976604,0.0,0.42130655,0.6385644,1.0033294,0.5123649,0.0,0.0,0.4976231,0.6538418,0.8961079,0.6578639,0.078861825,0.70208615,0.33445528,0.3546257,0.40452048,0.009889722
godzillamovie,0.19971937,0.57422215,0.7129511,0.0,0.63554853,0.70129573,0.21840267,0.0,0.48295024,0.7112862,0.5046395,0.18764621,0.34522998,0.53692245,1.0195639,0.4495433,0.5750467,0.38585562,0.0,0.79879266,0.5418511,0.8068529,0.65896994,0.0,0.0,0.5502983,0.52337885,0.56364316,0.7087938,0.19770837,0.42489,0.6337567,0.22376281,0.4134224,0.015101182
goldfinchmovie,0.39871854,0.64494866,1.0763766,0.0,1.2921282,0.80330586,0.6045882,0.0,0.8057647,0.6761886,0.5571581,0.39089066,0.27046865,0.68733275,1.5786471,0.5264174,0.8033439,0.1772662,0.0,0.8297017,0.787041,1.0428927,0.7295782,0.0,0.0,0.6483886,0.9649667,0.79966843,1.060185,0.14184068,0.84722626,0.6073204,0.69192266,0.65905213,0.0
goodboysmovie,0.37897536,0.43309566,0.47274527,0.0,0.4740814,0.51278186,0.19135371,0.0,0.63167787,0.7683389,0.35950917,0.69350696,0.0,0.28230247,1.1328722,0.68861043,0.93628603,0.5985621,0.0,0.5581076,0.5777405,1.145023,0.81553197,0.0,0.0,0.59540164,0.779113,1.1981456,0.9346696,0.05675084,0.79860735,0.69272643,0.58909595,0.3462807,0.0
goodliarmovie,0.22071728,0.7098359,1.1266322,0.0,0.95597684,1.1386237,0.49740565,0.0,0.9569036,0.9121475,0.61643434,0.7214955,0.19709563,0.38182935,1.6907183,0.8453485,0.7669576,0.6073266,0.0,1.1315861,0.7804767,1.0339794,1.1514436,0.0,0.0,0.855334,0.878755,1.0062107,1.1273127,0.46671978,0.74626917,0.60155284,0.45193988,0.7538464,0.06738986
gretafilm,0.58556044,0.8214749,0.61569357,0.0,0.91644543,0.6678784,0.2964943,0.0,0.70657146,0.98739326,0.57973355,0.55223477,0.1657051,0.45912078,1.5366457,0.66272426,0.82041794,0.46250913,0.0,0.7099847,0.7419904,1.1459601,0.7077008,0.0,0.0,0.41041973,0.75857043,0.99878496,0.94412726,0.20012936,0.62942326,0.30860543,0.2120434,0.9719613,0.0
