userId,movieId
50,30
50,40
50,41
50,43
50,47
50,49
50,60
50,102
50,127
50,128
50,144
50,161
51,9
51,11
51,12
51,30
51,40
51,41
51,42
51,44
51,78
51,84
51,85
51,87
51,123
51,126
51,128
52,1
52,5
52,18
52,30
52,34
52,58
52,60
52,66
52,81
52,112
52,127
52,129
52,134
52,144
52,147
53,2
53,22
53,24
53,44
53,55
53,63
53,81
53,85
53,86
53,104
53,120
53,134
53,142
53,144
53,154
54,25
54,32
54,33
54,45
54,53
54,60
54,85
54,106
54,121
54,125
54,134
54,144
54,163
54,164
55,4
55,19
55,39
55,44
55,51
55,58
55,60
55,75
55,84
55,94
55,120
55,133
55,143
55,156
55,164
56,9
56,22
56,30
56,40
56,44
56,58
56,78
56,86
56,99
56,126
56,129
56,134
56,156
56,161
56,164
57,1
57,20
57,25
57,29
57,44
57,87
57,90
57,92
57,99
57,112
57,119
57,122
57,123
57,156
57,164
58,44
58,55
58,62
58,64
58,87
58,91
58,99
58,112
58,119
58,122
58,137
58,141
58,142
58,147
58,156
59,12
59,16
59,37
59,44
59,52
59,55
59,57
59,78
59,80
59,84
59,119
59,122
59,129
59,159
59,164
60,4
60,9
60,13
60,24
60,30
60,39
60,55
60,86
60,105
60,119
60,121
60,152
60,154
60,163
60,164
61,0
61,10
61,18
61,30
61,33
61,52
61,57
61,84
61,86
61,126
61,127
61,131
61,134
61,144
61,161
62,9
62,20
62,24
62,34
62,40
62,43
62,75
62,76
62,118
62,119
62,126
62,133
62,144
62,164
63,0
63,2
63,30
63,39
63,42
63,44
63,55
63,81
63,91
63,129
63,142
63,151
63,154
63,156
63,161
64,1
64,4
64,10
64,12
64,34
64,47
64,74
64,87
64,101
64,106
64,112
64,118
64,119
64,134
64,159
65,28
65,30
65,44
65,58
65,68
65,79
65,91
65,108
65,121
65,126
65,127
65,129
65,142
65,151
65,161
66,6
66,8
66,16
66,38
66,57
66,73
66,75
66,104
66,110
66,116
66,130
66,135
66,137
66,149
66,150
67,0
67,28
67,34
67,49
67,57
67,58
67,68
67,74
67,78
67,101
67,127
67,128
67,144
67,154
67,164
68,3
68,22
68,23
68,25
68,34
68,75
68,77
68,112
68,119
68,122
68,123
68,128
68,137
68,144
68,156
69,3
69,9
