,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
7102679446,5,7,3,0,3,0,0,0,0,2,0,4,0,2,0,2,0,3,0,0
7103428752,3,2,0,3,2,2,0,7,0,3,0,2,2,1,0,0,0,0,0,0
7103731320,5,8,4,0,4,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0
7107303208,2,3,0,0,3,1,0,3,1,2,0,5,0,4,0,2,0,4,0,0
7110793206,13,15,6,0,10,0,0,3,0,2,0,2,0,0,0,3,0,0,0,0
7118587262,2,1,0,2,4,4,0,9,0,1,0,2,1,1,0,2,0,1,1,0
7126079777,2,1,0,0,2,3,0,4,0,0,0,5,0,3,0,2,0,5,0,0
7154470141,3,11,6,0,8,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0
7168042266,4,0,0,1,2,4,0,7,0,1,0,6,0,3,0,0,1,6,0,0
7175445100,5,3,0,0,2,1,0,1,0,2,0,7,0,1,0,3,0,4,0,0
7183202605,4,3,1,1,7,1,0,4,1,0,0,1,0,0,1,2,0,0,0,0
7186505518,4,4,1,2,10,3,0,8,0,1,1,5,0,4,0,1,0,0,0,0
7190597866,1,1,0,1,1,1,0,8,0,1,0,3,0,2,1,1,0,1,1,0
7209801629,12,18,5,0,8,1,0,2,3,5,0,7,0,2,0,5,0,4,0,0
7214285353,3,5,1,0,6,0,0,2,1,2,0,3,0,2,1,0,0,2,0,0
7237309286,6,4,0,1,8,3,0,2,0,2,0,3,0,2,1,0,0,2,0,0
7275404818,8,4,2,5,5,2,0,6,1,1,2,1,0,0,2,1,1,1,1,0
7280491193,2,2,3,0,3,0,0,0,1,1,0,6,1,4,0,0,0,3,0,0
7298698324,5,8,5,1,6,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
7309647650,7,11,5,1,13,3,1,7,3,3,0,7,0,3,0,2,0,5,1,0
7310132917,11,13,2,0,1,0,0,0,2,3,0,1,0,0,0,6,0,1,0,0
7325533389,0,0,0,0,1,0,0,1,0,0,0,10,0,7,0,0,0,6,0,0
7329496410,4,3,0,1,3,2,0,4,0,2,0,7,0,5,0,0,0,4,0,0
7329815949,8,5,2,1,4,2,0,2,1,0,0,2,0,1,0,1,0,3,0,0
7339301230,5,6,1,0,5,1,0,3,1,1,0,2,0,1,0,3,0,1,0,0
7340395778,11,15,3,1,7,2,0,8,3,4,0,4,1,3,1,6,0,7,0,0
7341357612,2,3,0,0,0,0,0,4,0,3,0,11,0,4,0,0,0,6,0,0
7341549702,11,11,0,1,7,1,0,6,0,3,0,7,0,4,0,4,0,4,0,0
7341978083,1,4,1,1,5,0,1,6,1,1,2,4,0,5,1,0,0,3,1,0
