movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
bernadettefilm,1.0077158,0.0,0.6597186,0.6798592,0.32511097,0.70840085,1.1600406,0.886063,0.6853347,0.0,0.54562545,0.8841106,0.62867934,1.2231094,0.75160086,0.767954,0.59290576,0.7555444,0.4412839,1.0694013,0.55929494,0.0,0.31080207,0.6046806,0.47429332,0.0,0.7124166,0.9363811,0.75472206,0.74265915,0.7748923,0.83724594,0.924763,0.5602578,1.0421498,0.0,0.5314625,0.61992735,0.3772685,0.9470503,0.5498033,0.85766566,0.53524846,0.0,0.24739088
blackandbluemovie,2.1252801,0.0,1.727707,1.2022352,0.58961076,1.1796749,2.0685334,1.5745552,1.2181373,0.0,1.0942508,1.1333646,1.2054935,2.1441042,1.3993932,1.0278352,1.4195967,0.85866654,1.06925,1.664873,1.234514,0.0,0.84391224,1.2695355,0.55603194,0.0,1.204037,1.3950939,1.3544793,1.1231166,1.4964728,1.3579026,1.9444164,0.72629374,1.4872471,0.0,0.91556114,1.0447274,0.60444474,1.4625027,1.2970939,1.8709544,0.96569,0.0,0.78173625
blackchristmas,0.90952134,0.0,0.88208425,0.48276561,0.4458958,0.61929446,1.1233494,0.83295166,0.5460145,0.0,0.2621488,0.98403597,0.6707693,1.0188938,0.6708882,0.49113566,0.68380845,0.25234646,0.3603626,0.7435951,0.5445423,0.0,0.44078317,0.93200284,0.42168224,0.0,0.61770725,1.0015775,0.6713214,0.5250662,0.67377824,0.7178765,1.0235113,0.41526204,0.76680046,0.0,0.32978472,0.5255769,0.40113437,0.7627161,0.7022835,1.1374929,0.61013377,0.0,0.36356732
blindedbythelightmovie,0.44740903,0.0,0.48453566,0.43072015,0.34855562,0.35897085,0.7162353,0.5861559,0.21020341,0.0,0.34601632,0.6107112,0.50638014,0.69289654,0.5012362,0.531217,0.38832927,0.52091223,0.37185073,0.59699184,0.41606197,0.0,0.25037283,0.56487185,0.2699941,0.0,0.5606429,0.66897005,0.372143,0.56719494,0.5932229,0.588064,0.5363599,0.45005977,0.58058846,0.0,0.25343385,0.33281684,0.25931323,0.5565228,0.42642412,0.617057,0.33138475,0.0,0.2587955
bombshellmovie,1.2898571,0.0,1.1741905,0.7343945,0.8163403,0.9212769,1.2726846,0.9853312,0.8755658,0.0,0.62125456,0.87480414,0.7021696,1.2991456,0.80420715,0.69780475,0.97334725,0.4981847,0.56465876,1.0114024,0.84002733,0.0,0.3052629,0.70929176,0.6314207,0.0,0.83557206,1.1404179,1.107979,0.55807585,0.7337374,1.3065487,1.1177665,0.7977928,0.84018683,0.0,0.53139687,0.6013665,0.51603305,1.0195056,0.7080524,1.2614999,0.46257535,0.0,0.208792
booksmart,8.39731,0.0,6.188115,2.7103562,2.0838118,5.533394,9.450021,6.1736927,4.1210694,0.0,1.7104077,6.014968,4.9011755,8.304033,4.3419924,2.265695,4.41907,1.9778185,3.547824,7.432969,3.776167,0.0,2.516573,5.904031,1.5874649,0.0,4.7219157,7.193447,4.6907506,3.525073,4.3026686,5.523204,8.156016,2.9174097,4.349005,0.0,2.8678136,3.7554119,3.1212702,6.6415176,6.2495594,7.689143,3.5015259,0.0,2.9309468
breakthroughmovie,2.156844,0.0,1.716265,1.9255468,0.83902,1.2236104,2.7002997,1.7504566,1.4544237,0.0,0.95822364,1.9671826,1.1010084,2.3099945,1.8835621,1.2089139,1.491653,1.3225471,1.2778273,1.8337712,1.3864626,0.0,1.1059498,1.5198381,0.9063306,0.0,1.2606972,2.3194137,1.2226642,1.2299708,1.8629194,1.7500234,2.83158,1.0528511,1.9721857,0.0,0.751257,1.3433855,1.2257254,2.1364129,2.2063007,2.25338,1.3412241,0.0,1.0268568
brianbanksmovie,1.3186388,0.0,0.92857003,0.8888182,0.31988016,0.5661845,1.2251945,1.3556453,0.5912641,0.0,0.5777643,1.255838,0.7782796,1.217645,1.0045888,0.7810296,0.55619615,0.7738802,0.54565036,1.0677967,0.83953476,0.0,0.51236105,0.9049613,0.66168797,0.0,1.0543057,1.2400194,0.7223471,0.7473462,1.0248798,0.9883435,1.29611,0.6530115,1.0396515,0.0,0.63941056,0.5653367,0.432566,1.0640846,1.2916007,1.4030585,0.59149945,0.0,0.6492456
brightburnmovie,1.221651,0.0,1.2251663,0.74969304,0.44067466,0.8611385,1.2312945,1.1466031,0.6979866,0.0,0.43878996,1.2240582,0.7751129,1.477785,1.0066618,0.4569306,0.6278716,0.5477744,0.7654762,1.0196991,0.7544754,0.0,0.46088284,1.0701705,0.61235666,0.0,0.7984053,1.0346408,0.60311127,0.665344,0.8220642,0.8232601,1.3741382,0.5454078,1.0283215,0.0,0.6328315,0.61255825,0.5838005,1.019467,1.1495571,1.4277444,0.74268585,0.0,0.4747643
brittanyrunsmov,0.7110046,0.07051462,0.5716481,0.3410349,0.34571853,0.5178387,0.79105014,0.61986375,0.43852878,0.0,0.39331284,0.61575687,0.5353178,0.94538784,0.4985177,0.5447144,0.5520932,0.49178463,0.42899165,0.79912883,0.49077874,0.008384809,0.4332824,0.70882446,0.21796523,0.0,0.68951195,0.7291904,0.25950086,0.4963507,0.69706154,0.6290028,0.95073205,0.46205333,0.7095061,0.0,0.2211155,0.3296163,0.3260141,0.75227255,0.73161256,0.6963842,0.48863655,0.0,0.46267104
captainmarvelofficial,1.091298,0.0,0.7422675,0.68643594,0.5637572,1.0241992,1.2892488,1.0553188,0.6486441,0.0,0.4627659,0.87449837,0.61702025,1.0436068,0.891023,0.5864473,0.83057386,0.6209333,0.45864046,1.2142264,0.5596747,0.0,0.31707975,1.0534879,0.56286585,0.0,0.8727164,0.78509223,0.92132217,0.93376756,0.902466,1.0181621,1.2991921,0.5204601,1.0151482,0.0,0.46156248,0.6228655,0.19773257,1.1729499,0.91135013,1.3741413,0.46006086,0.0,0.66128564
captivestatemovie,1.0619085,0.0,1.0810329,0.7278504,0.3512249,0.6904582,1.272822,1.0249326,0.62852496,0.0,0.22931547,1.1435516,0.858985,1.2139924,0.8126625,0.562832,0.59713334,0.68132895,0.68109244,1.163793,0.7934593,0.0,0.64266026,1.0942502,0.33334917,0.0,0.9034074,0.91351706,0.7140818,0.92324185,0.95885056,0.7147322,1.3309495,0.652273,1.0393611,0.0,0.5066289,0.8126152,0.7553495,0.78645486,1.1905946,1.3404157,0.8749689,0.0,0.44154337
catsmovie,2.0970502,0.0,1.2131777,1.080288,0.40537634,0.59900737,2.372316,1.3931515,0.7809561,0.0,0.95918477,1.3419507,0.7465668,1.3496283,1.3190144,0.8959436,1.1686374,0.6393628,0.57546735,1.6090848,1.2770057,0.0,0.9401754,1.2005407,0.39762938,0.0,1.0185003,1.8192416,1.4557825,1.0856171,1.7232769,1.5889698,1.8556697,0.6177368,1.743175,0.0,1.0952432,0.9764337,0.24428709,1.340577,1.6253409,2.0297203,0.26040763,0.0,0.8597398
charliesangels,2.3799462,0.0,1.8844017,1.7926668,1.1135718,1.712854,2.3246648,1.6953276,1.4491467,0.0,0.99781644,1.8362954,0.9160684,3.0864348,1.3413112,0.90771246,1.0926669,1.1192598,1.31328,2.2346385,1.797257,0.0,0.8538476,1.9360154,1.8059313,0.0,1.6784168,2.1465454,0.98207307,1.0702283,1.5546545,1.888044,2.9964573,1.2208382,2.1431973,0.0,1.2904111,0.95247406,0.82541823,2.2659433,2.5176365,2.5732946,1.4470992,0.0,0.4750101
childsplaymovie,3.5302982,0.0,2.8394217,1.9605483,1.380228,2.0487485,4.6130786,2.7069883,1.5531783,0.0,2.1223042,2.7455063,1.5670488,3.591155,2.701297,1.932699,1.6240665,1.1030313,1.2977959,3.16639,1.9358464,0.0,1.3793508,2.771868,1.2283095,0.0,2.465195,2.8163834,2.500668,1.5604404,2.1395702,2.740624,3.6634433,1.8714375,3.0427783,0.0,0.8241624,2.5632136,1.2109601,2.2656627,1.7157221,4.1426954,1.3530778,0.0,1.1631274
clarathefilm,4.2451653,0.0,3.9538536,2.6575034,1.035833,2.9821794,4.8462315,3.968042,1.4128854,0.0,2.2926242,3.8472242,2.5768614,4.7917476,3.1668751,2.1235223,1.9694669,1.2097598,0.93378025,2.5554936,2.343563,0.0,1.0329001,3.8817449,1.6136642,0.0,3.4249718,3.6086335,2.689828,1.6665596,2.2955852,3.3776596,4.468624,1.4022075,4.2541466,0.0,1.5692673,3.183514,1.4025813,3.3182433,1.8991364,4.7790637,2.1051726,0.0,1.9874135
