movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
bombshellmovie,0.90380466,0.0,1.0300215,0.8525242,0.9135049,1.1622654,0.0,0.33098286,1.2174503,0.8853712,0.78342074,0.838193,1.1921002,0.48198286,0.8363551,0.526461,0.0,0.9521436,0.75199413,0.32307497,0.39386714,0.7526179,0.77371484,0.67474544,0.77399135,0.75120676,0.0,0.7646596,0.5862394,0.7778614
booksmart,5.4769435,0.0,8.746028,3.381549,6.5337553,6.5533514,0.0,0.9189963,7.5931754,6.757266,4.683668,3.0127509,6.963076,2.934757,6.288208,4.6602287,0.0,3.8780148,4.011543,2.8139849,1.8862752,2.422876,2.8908184,2.526954,2.873038,3.7867317,0.0,4.4087534,3.210009,4.8821254
breakthroughmovie,0.51179516,0.0,1.2343568,1.5292724,1.7406487,1.5694995,0.0,0.9429229,1.607626,1.7545335,1.0401237,1.5494804,2.1406062,1.3575228,1.2788165,1.173445,0.0,1.1205225,1.7551317,0.95954597,1.426586,1.0330276,1.3657147,1.8112905,1.0519887,1.160197,0.0,1.0573577,1.4991438,1.368799
brianbanksmovie,0.48598492,0.0,0.99700564,1.0443707,1.0026065,1.0617433,0.0,0.66399133,1.2133901,0.74149644,0.7205972,0.79527676,0.99793327,0.97681725,0.8430302,0.5735007,0.0,0.80619115,0.6824567,0.47101057,0.6154524,0.5284325,0.79227024,0.65120184,0.84355986,0.6907368,0.0,0.45745638,0.84732634,0.9105771
brightburnmovie,0.67787373,0.0,1.0879728,0.91402566,0.77639705,0.99871373,0.0,0.53656363,0.91259784,1.2453859,0.64337337,0.70111,0.99269867,0.79420877,0.62800777,0.74258524,0.0,0.71276194,0.7419896,0.62138027,0.61930233,0.61272967,0.7720097,0.80524135,0.56191176,0.8448534,0.0,0.6201311,0.80704063,0.73769486
brittanyrunsmov,0.4413424,0.0,0.61664975,0.62461746,0.6284665,0.59840953,0.0,0.3583817,0.46714896,0.71999377,0.6712638,0.4941244,0.5373951,0.25250548,0.45547846,0.4830533,0.0,0.6495415,0.35526788,0.34414387,0.36234277,0.4161222,0.5125575,0.49635464,0.48665416,0.4881311,0.0,0.42526704,0.37511083,0.6229993
captainmarvelofficial,0.49957627,0.0,0.76485866,0.76582265,0.6118415,0.87409043,0.0,0.51599145,0.9788769,0.86815244,0.5695092,0.8222502,0.81405616,0.8687606,0.91727424,0.58451504,0.0,0.7005093,0.7918264,0.66977614,0.6027965,0.6025954,0.6907173,0.67243636,0.7444822,0.62117183,0.0,0.6680643,0.6713025,0.92889816
captivestatemovie,0.31525195,0.0,1.0044913,0.79805654,0.77215713,0.9251685,0.0,0.766556,0.8575571,0.9098874,0.38196316,0.86615723,0.87605894,0.7875744,0.48043725,0.64941543,0.0,0.8550583,0.5989453,0.40022197,0.4228115,0.56795,0.7916871,0.67471576,0.85208005,0.6351654,0.0,0.6442542,0.7755353,0.63153416
catsmovie,0.8654098,0.0,1.6484822,2.1502721,1.7257699,2.2104359,0.0,0.9245514,1.7617238,1.5450121,1.2079834,1.3694739,1.5553163,1.3317137,1.5137036,0.6481874,0.0,1.5189875,1.3429685,0.9049542,1.3231947,0.9982346,1.5115188,1.0469993,1.0642273,0.6821596,0.0,0.9502286,0.895916,1.3869126
charliesangels,1.7101088,0.0,2.5565526,1.4649132,1.9178641,1.8767533,0.0,1.4251566,1.627199,2.701519,0.99916494,1.2653592,2.1643429,1.1435708,1.6174567,1.70544,0.0,1.2672627,1.4313871,1.1968876,0.8935761,1.1486953,1.0612776,1.3668783,1.2625911,1.9554982,0.0,1.5609914,1.585263,1.6836112
