movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
disneyaladdin,0.7751969,0.538266,0.5638106,0.09146493,0.5704286,0.9346065,0.9627102,1.2422123,0.6145394,1.217386,0.0,0.70267826,0.6116545,1.1790982,0.8572669,0.28558612,0.0,0.9536378,0.97222453,0.7416958,0.79518586,0.6739033,1.0223842,0.44674706,1.1711813,1.0511369,0.7296376,0.0,0.64065033,0.87450725,1.0507339,0.9216905,1.0303608,1.1188565,0.068100706,0.43628865,0.9795094,0.4499773,1.123797,0.45693702
disneyfrozen,0.92471725,0.43909717,0.46132994,0.03776135,0.94718367,0.8791463,1.0328058,1.5476761,0.68293184,1.5050604,0.0,0.5667195,0.4542228,1.616607,1.0622406,0.49563932,0.0,0.8829159,1.2507312,0.9794019,1.2145816,0.77910495,1.1015506,0.38531354,0.91778207,1.1114764,0.93733835,0.0,1.0437696,1.0866438,1.0199509,0.7604992,0.6198117,1.1069686,0.15422887,0.6014488,0.917936,0.52561164,0.7240188,0.4420892
disneymaleficent,0.5972793,0.39818498,0.37180918,0.0,0.48379904,0.6991218,0.7448114,1.0307531,0.58779824,1.0768892,0.0,0.45240533,0.6322029,0.83895576,0.6998408,0.34988788,0.0,0.5818707,0.80058026,0.5642793,0.60482997,0.67650807,0.8173925,0.4477238,0.8884145,0.9476095,0.5562525,0.0,0.550283,0.7099824,0.8418839,0.56352866,0.7765664,0.874737,0.02875462,0.52260894,0.7105383,0.4490648,0.8614769,0.45382312
doctorsleepmovie,0.6545725,0.34843102,0.32518128,0.0,0.57210875,0.67440623,0.8184498,0.71187043,0.24802324,0.78747624,0.07436645,0.34197366,0.54489523,0.744897,0.52638245,0.25704545,0.0,0.6446758,0.5977255,0.6308685,0.745039,0.5199407,0.64246786,0.3440141,0.63833225,0.5297991,0.37928635,0.0,0.7043411,0.64836943,0.6270561,0.8505407,0.52493185,0.712036,0.25188953,0.36287805,0.73121184,0.4116382,0.5059994,0.3656233
dolemiteismyname,0.6208984,0.52502143,0.46725354,0.14539516,0.8098813,0.9734775,1.0317041,1.2097249,0.44335562,1.2968718,0.0,0.8405973,0.8226083,1.1832148,0.60124004,0.26366603,0.0,0.8400522,0.9311473,0.58416015,0.778485,0.9177293,0.98971814,0.7330808,1.5273222,1.0446962,0.85131055,0.0,0.76998585,0.9761548,1.2422796,1.0489658,0.92196673,0.91774756,0.37970322,0.7249778,0.9255199,0.5185839,0.92572904,0.41073507
dontletgomovie,0.92616403,0.43028083,0.37241513,0.1312766,0.45482326,0.73691624,0.8602503,0.96677256,0.3576079,0.8340658,0.0,0.42428684,0.8805068,0.7913153,0.5910173,0.30780688,0.0,0.53254336,0.57720333,0.5616593,0.5751498,0.69258565,0.7524412,0.37984332,1.2107636,0.6347,0.56317264,0.0,0.6009789,0.5720995,0.7389915,0.80557925,0.7895481,0.6824105,0.2992925,0.36311904,0.89801234,0.34243137,0.794098,0.22249201
doramovie,0.6794385,0.167394,0.45425493,0.05626648,0.69296443,0.47346488,0.57811284,1.0389973,0.3778019,0.72696984,0.0,0.27609557,0.4059767,0.88672817,0.60584,0.20357487,0.0,0.52024245,0.70276296,0.66681963,0.6622365,0.45983067,0.38115928,0.19430995,0.71481824,0.6775324,0.2139524,0.0,0.5536881,0.44598147,0.6204584,0.6642022,0.3657072,0.7389101,0.33821306,0.29098424,0.6386258,0.33586216,0.51623344,0.24419497
downtonabbey_official,0.86889493,0.56685364,0.3912765,0.12077737,0.6978929,0.9120975,1.3723226,1.2895125,0.5572193,0.94784933,0.0,0.63165665,1.0934098,1.2212642,0.68036485,0.22454104,0.0,0.94815475,0.810719,0.81367,1.1938198,1.1373417,0.8673795,0.31549647,1.7565728,0.9850819,0.8230722,0.0,0.8271357,0.7914068,0.9523222,0.85400146,1.0496783,1.0511411,0.36631742,0.66410196,1.2015773,0.5116627,1.1478904,0.39338434
dumbo,0.52583516,0.32168698,0.3333052,0.0,0.43807212,0.61009103,0.69374347,0.86887074,0.557958,0.8302193,0.0,0.44418854,0.5203919,0.7827301,0.6577053,0.2840558,0.0,0.6028909,0.69825137,0.5610165,0.5936603,0.5627691,0.7287895,0.35009897,0.735219,0.78034025,0.4448228,0.0,0.5453877,0.60158795,0.7273151,0.5827709,0.68090576,0.74515307,0.06256051,0.4307511,0.68569213,0.36213866,0.70816195,0.42069703
escaperoom,0.82225114,0.69252133,0.36803025,0.0,0.45362028,0.6536488,1.0732403,1.0977083,0.29957044,0.98100007,0.0,0.75537586,0.6746127,0.9405034,0.73068154,0.18507177,0.0,0.7037999,0.7171533,0.62819934,0.75001603,0.43517187,0.7535853,0.60624975,1.0122625,0.7656732,0.44441754,0.0,0.7103291,0.6717589,0.9396109,0.7830741,0.6603966,1.055577,0.4329348,0.7370275,1.0715332,0.400312,0.7949975,0.31918782
