movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69
bernadettefilm,0.45856372,0.58451164,0.3889854,0.3331236,0.49204174,0.32978117,0.35176334,0.23069163,0.0,0.583584,0.42714193,0.6310776,0.6752611,0.0,0.6213565,0.17721082,0.59038955,0.66422033,0.21516153,0.5551838,0.1525888,0.47500336,0.45843795,0.0,0.5279013,0.6215364,0.6503965,0.5662154,0.67593426,0.3616475,0.6868647,0.43874416,0.60269576,0.4493971,0.48639497,0.40585732,0.4566558,0.51739895,0.0,0.42112184,0.5152684,0.35945457,0.7134604,0.6870376,0.3383001,0.668265,0.43636444,0.6858957,0.48382142,0.3795628,0.4205034,0.80480796,0.527974,0.0,0.44923046,0.40580565,0.14614913,0.35778177,0.3570328,0.0,0.53354436,0.0,0.699128,0.5813492,0.3998541,0.0,0.5007029,0.37761515,0.0,0.32409912
blackandbluemovie,0.58664435,0.99460495,1.1795729,0.782826,1.1603366,0.89139915,0.52614224,0.41658843,0.0,0.92340636,1.3999537,0.8347984,1.0580701,0.0,1.1133732,0.5347235,0.8961027,1.1506567,0.47894555,0.4994787,0.46985987,0.3971941,0.4895702,0.0,0.9459389,0.9530659,1.0420662,0.47501087,1.0520108,0.5268683,1.7935317,0.274517,1.2214587,0.6802741,0.7517127,0.9134539,1.0526478,0.55151606,0.0,1.0664132,1.2392734,0.3915084,1.1414381,0.99903446,0.4015975,1.2787277,0.6167408,1.363126,1.2056484,0.88169533,0.86030036,0.8203615,0.8326699,0.0,0.9933621,1.0843296,0.98272187,0.43505612,0.5700584,0.0,0.8264799,0.0,1.2186742,1.0109512,0.56759465,0.0,0.9730587,0.7529279,0.0,0.45561376
blackchristmas,0.4822512,0.48468548,0.5330084,0.35312858,0.4163991,0.4835724,0.30830187,0.22067226,0.0,0.6769804,0.48661575,0.3815728,0.37210846,0.0,0.60369027,0.11911668,0.44446757,0.43304643,0.14307278,0.6767057,0.028822158,0.33122978,0.39337835,0.0,0.6011899,0.45130458,0.57303476,0.5628294,0.71391344,0.30920213,0.5753833,0.30199745,0.70653915,0.25938836,0.45621896,0.379034,0.25048518,0.52058315,0.0,0.65579605,0.5007584,0.4851544,0.68780226,0.25571924,0.25171882,0.5802349,0.377495,0.6452561,0.61002487,0.6542387,0.47586623,0.602812,0.49171796,0.0,0.49413383,0.5881981,0.3545283,0.426403,0.4637424,0.0,0.6332569,0.0,0.5706948,0.49107036,0.38423863,0.0,0.61878616,0.51426744,0.0,0.3132201
blindedbythelightmovie,0.28375313,0.27726912,0.2617543,0.16865349,0.35784075,0.35526863,0.17176694,0.1261783,0.0,0.46776566,0.29100367,0.37889767,0.3493976,0.0,0.32941833,0.1995207,0.27343065,0.348917,0.17378557,0.3907123,0.0,0.28866276,0.35516897,0.0,0.30115977,0.27744213,0.25575498,0.3625437,0.39289033,0.23220257,0.43018493,0.2469987,0.34398633,0.18172756,0.23791203,0.32254395,0.28513622,0.363472,0.0,0.35220134,0.30605233,0.25826055,0.4453561,0.32198468,0.27119502,0.4281422,0.31172833,0.4015316,0.28204218,0.3561889,0.25119057,0.443397,0.47200152,0.0,0.3099615,0.43835673,0.21679118,0.30878156,0.29612675,0.0,0.3926608,0.0032645315,0.37104997,0.36105576,0.3205329,0.0,0.3165546,0.34887308,0.0,0.17040738
bombshellmovie,0.23273472,0.3952636,0.6510884,0.40932348,0.42065233,0.3732327,0.16070428,0.27074927,0.0,0.58675396,0.66393644,0.5429138,0.39288095,0.0,0.7257106,0.15147416,0.28804854,0.35188398,0.25162315,0.42780367,0.0,0.23206961,0.5145932,0.0,0.6220195,0.36514413,0.50255287,0.6033578,0.44647002,0.43766809,0.7091826,0.4733233,0.59034294,0.26255724,0.4186282,0.5594625,0.44199443,0.45287126,0.0,0.54873925,0.5231938,0.5134344,0.65916485,0.5358703,0.08092435,0.90780103,0.3774402,0.50497407,0.4461523,0.36485922,0.5935091,0.76431906,0.5279345,0.0,0.27685687,0.5920196,0.1685207,0.5429541,0.30142987,0.0,0.67153466,0.0,0.17056255,0.48689386,0.28394693,0.0,0.4510688,0.474571,0.0,0.3429332
booksmart,0.19099544,0.0,0.25848725,0.36586648,0.3434756,0.1997908,0.0,0.0,0.0,0.368957,0.30052638,0.0,0.0,0.0,0.0,0.21903527,0.17254466,0.1799417,0.0,0.05975212,0.0,0.12309325,0.14756903,0.0,0.46434927,0.063930005,0.25571164,0.002718147,0.0,0.31832933,0.42687014,0.020341944,0.327492,0.0,0.15904668,0.0,0.2413417,0.0,0.015295398,0.092697665,0.12651132,0.027539385,0.4029665,0.24787617,0.0,0.30000466,0.029466972,0.0,0.114073165,0.04142978,0.30004182,0.112206265,0.0999224,0.0,0.14106892,0.44651946,0.3365928,0.19288263,0.18765768,0.0,0.66015685,0.00857744,0.107880026,0.3311672,0.1343838,0.0,0.0,0.0,0.0,0.34070453
breakthroughmovie,1.2350668,1.2553433,1.017802,0.66348594,1.2822157,1.1049494,0.8614125,0.32633483,0.0,1.2472845,1.1369631,0.778579,0.62755215,0.0,0.9844804,0.7329798,0.6601958,0.88363296,0.7182751,0.7536539,0.08491086,0.8549703,0.8436488,0.0,0.81389576,0.8243262,1.2156512,1.0975701,0.6950543,0.40679687,1.7582722,0.5171783,1.220418,0.90711516,0.8972461,0.62082964,1.0352501,0.2249769,0.0,1.0967054,1.4043614,0.88141483,1.0754501,0.78470945,0.642838,1.2195481,0.7548262,0.8977286,0.6759233,0.8460435,0.8698975,0.93407756,1.2911075,0.0,1.219113,0.8431267,0.75172967,0.52238715,0.79761344,0.0,1.240132,0.0,1.2375033,0.80957276,0.75327003,0.0,1.1118591,0.7579677,0.0,0.61928606
brianbanksmovie,0.58538175,0.6515214,0.85597956,0.40971726,0.42395243,0.63933027,0.28704438,0.19045255,0.0,0.7106122,0.57277733,0.56247944,0.41601783,0.0,0.6791151,0.3066165,0.59017557,0.70523614,0.11217439,0.5083194,0.0,0.45392188,0.6112914,0.0,0.7281371,0.66365653,0.893996,0.4740911,0.76406026,0.40712523,0.80249536,0.6615325,0.6493291,0.530963,0.41961315,0.4471845,0.36870158,0.5486215,0.0,0.72018135,0.78097403,0.36856145,0.7016804,0.5192891,0.35533953,0.90342736,0.23889427,1.077606,0.45829064,0.45736563,0.6437219,0.5966729,0.8458388,0.0,0.5647056,0.41767475,0.3716067,0.59082097,0.45344934,0.0,0.79388916,0.0,0.44914573,0.73322153,0.4400788,0.0,0.5751775,0.64143467,0.0,0.44793394
brightburnmovie,0.42587927,0.804481,0.5268278,0.20827267,0.6644805,0.36393774,0.2220012,0.19024213,0.0,0.7634775,0.81308776,0.53045577,0.61088586,0.0,0.63603735,0.51346797,0.68749297,0.628085,0.20607695,0.47366437,0.05097268,0.2808226,0.5780295,0.0,0.7061889,0.56277794,0.69837385,0.40314588,0.8293896,0.21461114,1.0235715,0.37295398,0.5706155,0.31116718,0.31237832,0.49282712,0.37824684,0.4470883,0.0,0.6166999,0.8760172,0.39927626,0.5630151,0.5266886,0.32336372,0.89917845,0.47619718,0.8756682,0.63395685,0.5307766,0.4150609,0.65039897,0.58818454,0.0,0.67806345,0.52760565,0.37694943,0.3917175,0.41785166,0.0,0.4172534,0.0,0.63823795,0.59083676,0.2823099,0.0,0.605596,0.4560147,0.0,0.47017878
brittanyrunsmov,0.3892193,0.473342,0.3801667,0.44539773,0.21682483,0.33681583,0.32202795,0.13087294,0.0,0.3667523,0.28370437,0.3921489,0.29928115,0.0,0.29200646,0.12810442,0.37037322,0.41874972,0.20944446,0.38275585,0.019695695,0.21863867,0.26189378,0.0,0.36122662,0.28618598,0.54061717,0.39113235,0.39839804,0.21979086,0.5217055,0.16136506,0.40189594,0.3165719,0.44022736,0.21932602,0.1534585,0.3541243,0.0,0.402606,0.55258846,0.23296832,0.36318716,0.2671065,0.1374568,0.44102156,0.23202503,0.3913714,0.41185996,0.29728717,0.39280853,0.30849102,0.40253755,0.0,0.29762298,0.21311677,0.0,0.24177797,0.33257654,0.0,0.46949756,0.0,0.33592698,0.42838046,0.37875652,0.0,0.4406657,0.26178384,0.0,0.31033435
captainmarvelofficial,0.4943817,0.61083174,0.6518762,0.49855956,0.6603156,0.5604553,0.4123709,0.14339158,0.0,0.7209981,0.71480566,0.47955644,0.6171505,0.0,0.7426254,0.17312369,0.47457707,0.597347,0.24043831,0.49375606,0.07849678,0.5021666,0.69141316,0.0,0.58268785,0.5243118,0.9455298,0.5024684,0.51193696,0.46449137,0.87773573,0.164902,0.53709275,0.27496248,0.61959517,0.50862074,0.45768625,0.3200611,0.0,0.48275107,0.51157606,0.51409626,0.77696836,0.54771745,0.21256486,0.86841655,0.43880016,0.7119976,0.57492906,0.51048285,0.45397162,0.6951275,0.6180339,0.0,0.44097078,0.50897664,0.3515402,0.39298123,0.5140053,0.0,0.7635037,0.0,0.6304676,0.43308917,0.42163768,0.0,0.47045693,0.65276563,0.0,0.5773211
