movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
highstrungmovie,0.8830551,0.18141028,0.0,0.0,0.0,0.0,0.0,0.051891793,0.07708006,0.0,0.0,0.44251254,0.0,0.57446957,0.0,0.0,0.0,0.4776816,0.0,0.0,0.0,0.0,0.0,0.18632601,0.0,0.0,0.0,0.2815043,0.0,0.054763593
honeyboymovie,1.1366546,2.2393873,1.6777928,0.7066506,0.0,0.6732911,0.659926,1.0882945,0.7009581,0.8216183,0.8689917,1.2710375,0.0,0.5810295,0.29827714,1.0947572,1.1910806,1.3519098,0.6728296,0.64195275,0.0,0.07107813,0.94484097,0.0,0.9344804,0.54444224,0.67490965,1.3349918,0.6363533,0.094868176
hotelmumbaifilm,0.8163926,1.0449456,0.9151787,0.29020786,0.0,0.6809305,0.46174076,0.5166562,0.40136445,0.49893722,0.77121186,0.9494787,0.0,0.4991943,0.42402583,0.77900845,0.42126322,0.89636135,0.36796647,0.41640157,0.0,0.0,0.85649323,0.0,0.6575952,0.59961045,0.5932743,0.63960594,0.6018115,0.3233554
httydragon,1.3567752,1.9889231,1.5886953,0.19709116,0.0,1.1474768,0.75061685,0.781273,0.5271497,0.7426455,1.5161316,1.3947743,0.0,0.11300748,0.6381438,0.95473474,0.4907323,1.8450761,0.36329848,0.5523759,0.0,0.0,1.0741314,0.0,1.3626395,0.6257008,0.46499154,0.99193734,0.42923158,0.104326256
hustlemovie,0.81763935,1.2196524,0.9959313,0.41212958,0.0,0.7035097,0.46035737,0.5334965,0.223342,0.6408821,0.72601676,0.8989682,0.0,0.4982213,0.47756732,0.4448785,0.7376411,1.0801988,0.77983826,0.53553253,0.0,0.0,0.57188934,0.0,0.5280772,0.48629305,0.16289377,0.61685836,0.41715544,0.21943176
hustlersmovie,1.0314645,1.442415,1.5223632,0.0,0.0,0.14435925,0.51492625,0.3856926,0.19147545,0.48010418,0.644641,1.2447834,0.0,0.16678244,0.0,0.44857317,0.22411785,1.3947352,0.00420177,0.13556185,0.0,0.0,0.49267164,0.0,0.7711634,0.0,0.35185692,0.5534232,0.083596006,0.018214563
isntitromantic,0.9158474,1.429725,1.1265032,0.6872462,0.0,0.93484855,0.45776227,0.58833635,0.49334463,0.95286363,1.1422799,1.2057011,0.0,0.6354579,0.4390598,0.8043252,0.5962926,1.1588573,0.7406708,0.65970665,0.0,0.0,0.9942746,0.0,0.72403055,0.58103234,0.442722,0.9381778,0.3710671,0.49783313
itmovieofficial,1.0633476,1.3154044,1.1539092,0.34904298,0.0,0.58698666,0.59662116,0.51105744,0.4963225,0.77948123,0.78572506,1.3148919,0.0,0.5240664,0.51030517,0.7255245,0.50231993,0.95609283,0.7496183,0.21367528,0.0,0.0,0.8869277,0.0,0.70240164,0.45954436,0.58252466,0.84441507,0.6219268,0.41319066
jayandsilentbob,2.0131643,1.8479842,1.8732238,0.7949916,0.0,1.215043,0.9351505,1.5161325,0.70759296,1.2127676,1.3588448,2.1093106,0.0,0.52273476,0.80318546,0.98902255,0.8915567,2.1102233,0.7144148,0.39245066,0.0,0.51151663,1.2140696,0.0,1.2125115,0.9042436,1.0330101,1.1224706,0.44198662,0.3841264
johnwickmovie,1.4270316,1.8095174,1.5213943,0.6363343,0.0,1.5017539,0.7368049,0.8642299,0.32035422,0.8956433,1.5480518,1.5606104,0.0,0.48252645,0.58813155,0.7482603,0.8936868,1.4328679,0.551114,0.59749186,0.0,0.0,1.1579018,0.0,0.95470387,0.5938548,0.3489494,1.062891,0.9906188,0.40468508
