movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
shaftmovie,0.0,0.3533518,0.82562816,0.97479284,1.113382,1.3143156,1.1322951,1.4079148,1.8883338,1.4278085
shazammovie,0.0,0.29855576,0.87620246,0.99191326,1.1888789,1.6562712,1.2248518,1.1093723,2.2765646,1.55817
spidermanmovie,0.0,0.4501313,1.1459165,1.1640946,1.2823392,2.350224,1.6354203,2.1521413,3.3714085,1.8853616
spiesindisguise,0.0,0.5457881,1.032501,1.113043,1.2057089,1.9035811,1.2778232,1.2628487,2.3485339,1.8098267
starwars,0.0,0.0,1.3141248,1.317074,1.2169845,2.158221,2.146875,2.773589,3.8463151,2.134303
stormboymovie,0.0,0.45177904,0.75966114,0.7162559,0.9620415,1.0562575,0.869908,1.0602325,1.3969889,1.0198587
stubermovie,0.0,0.19466351,0.67213887,0.66087675,0.79066235,1.0688853,0.74246407,0.9083767,1.2167454,0.8817481
taosdfilm,0.0,0.27194393,0.64596367,0.57392114,0.8491795,1.0373746,0.8963125,0.8460152,1.1918266,0.8817906
teenspiritmov,0.0,0.48431537,1.2020367,0.90236014,2.0594919,2.1153955,2.1744614,1.392526,1.7933309,1.3935735
terminator,0.0,0.27526686,0.9537314,0.839281,1.266809,1.7427101,1.4574842,1.3810962,2.2275522,1.6439834
theaeronautsmov,0.0,0.18557237,0.40975863,0.47813356,0.72180057,0.702211,0.71501815,0.41075644,0.8448043,0.74146587
thebestofenemies,0.0,0.36580575,0.89177686,0.919063,1.204104,1.5951148,1.0557396,1.0910496,1.8486763,1.3542753
thedeaddontdie,0.0,0.5329239,0.80814415,0.90443844,1.1530428,1.2914462,1.3559003,1.2452782,2.0426738,1.374063
thefarewell,0.0,0.32514575,0.78893435,0.6209438,1.2286074,1.4356581,1.2819223,1.2729048,1.6720424,1.4019947
thehighwaymen,0.0,0.20395835,0.8103222,0.9484364,1.2053533,1.3235072,0.99218345,0.9395395,1.5702268,1.20654
