movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59
bernadettefilm,0.4593809,0.6998993,0.38765723,0.0,0.48585102,0.5259873,0.33101472,0.27465737,0.6210099,0.40627366,0.43052748,0.481978,0.42332512,0.25575444,0.7014299,0.46221763,0.6772901,0.51567304,0.0,0.48339927,0.5397941,0.25179714,0.36046323,0.54809016,0.41757905,0.49197832,0.4588282,0.0,0.6980053,0.5712354,0.23162587,0.0,0.111955926,0.38232562,0.4180762,0.6223068,0.3756878,0.3417797,0.42317626,0.24237788,0.67022735,0.4972291,0.0,0.67929167,0.5443281,0.4247439,0.4204384,0.47772524,0.47441426,0.4184003,0.8588066,0.3976271,0.53630275,0.5596537,0.3956864,0.12222011,0.0,0.2683084,0.50765896,0.3897892
blackandbluemovie,0.97964245,1.2095252,1.0108212,0.0,0.85638124,1.3465649,0.7676322,1.0371928,0.69300884,0.9460106,0.7356421,1.1195042,0.92676437,0.5569077,1.2661918,1.1501906,1.4899251,1.0031295,0.0,1.220527,1.1679149,1.2005047,0.59625596,1.044543,0.67099434,1.0312009,0.58244103,0.5025826,1.6400797,1.2335826,0.6324106,0.0,0.003771523,0.6256049,0.60897607,1.1412461,0.8236003,1.1690724,0.9827113,0.6838776,1.1110507,0.8762376,0.0,0.8257876,0.989879,1.7711761,1.3744991,0.6242288,1.0373752,1.0194706,1.530382,1.0647116,1.0199167,0.5708253,0.5947765,0.2987577,0.0,0.4082081,0.7854598,0.49475598
blackchristmas,0.6010434,0.5374799,0.35610414,0.0,0.45664844,0.7667396,0.2943111,0.3283638,0.3632471,0.52102655,0.40721804,0.57422394,0.27873722,0.5264588,0.71322775,0.37875178,0.8424216,0.5315392,0.0,0.47768497,0.33777452,0.42982543,0.40006903,0.27184752,0.37329882,0.5511191,0.29400676,0.08849299,0.676882,0.60303104,0.3080857,0.0,0.23085257,0.4096477,0.42254242,0.7244121,0.29338142,0.43621305,0.47304493,0.2736849,0.44797873,0.49795356,0.0,0.58786845,0.5372259,0.7584453,0.6176654,0.36652517,0.5835604,0.5365282,0.80794317,0.4875374,0.50720865,0.43564606,0.3058383,0.19868457,0.0,0.47879273,0.4227114,0.2519437
blindedbythelightmovie,0.30063963,0.36505547,0.3450957,0.0,0.32234648,0.4766746,0.21547607,0.27329367,0.21650442,0.31612986,0.2960507,0.39133927,0.2828573,0.22271037,0.34790096,0.3185119,0.31626675,0.3700692,0.0,0.36743096,0.19838423,0.26912242,0.29855812,0.12960714,0.17316838,0.26582786,0.14050494,0.12736028,0.5330498,0.24107654,0.26546437,0.0,0.08127155,0.26866984,0.31635776,0.39039007,0.2845879,0.30194753,0.19524068,0.19601373,0.24255809,0.19635153,0.0,0.36870968,0.35292655,0.32044065,0.3638448,0.25747427,0.30185947,0.20926088,0.4625653,0.29736495,0.37820566,0.20412967,0.12721755,0.11016562,0.0,0.3006552,0.21572658,0.2010706
bombshellmovie,0.8777347,0.4893542,0.5803635,0.0,0.6283435,1.0241807,0.38161498,0.54369915,0.42759985,0.5734223,0.6927489,0.62224776,0.5247753,0.49018645,0.70517856,0.71071124,0.78847545,0.7499723,0.0,0.82381034,0.56209105,0.684476,0.5635445,0.48936364,0.37652636,0.39973912,0.63558966,0.42913586,0.688874,0.6395302,0.4943694,0.0,0.32724756,0.4032571,0.6235741,0.8124225,0.24867341,0.6345716,0.6857079,0.40255746,0.47306284,0.66362405,0.0,0.6590864,0.4461081,0.93145967,0.9331332,0.47997397,0.67319655,0.49366307,0.95248556,0.5975772,0.55745035,0.6397079,0.5127103,0.34272587,0.0,0.51325697,0.55536544,0.36017945
booksmart,0.41618726,0.1192044,0.3730645,0.0,0.0059358515,1.1303873,0.05156051,1.3181401,0.0,0.16148473,0.24832672,1.188017,0.6661086,0.0,0.47255346,0.90352476,1.822321,1.184598,0.0,0.35231546,0.5976467,0.1834989,1.0745821,0.3127697,0.6051303,0.7292899,0.0,0.5179705,0.45470676,0.6898027,0.22375758,0.0,0.48421454,0.6168054,0.8722,1.1921294,0.5891555,0.0,0.6166977,0.0,0.95688576,1.0914682,0.0,1.2544674,0.11220934,1.7171755,1.042995,0.82197577,0.19828448,0.804181,1.9255493,0.76376224,0.5340344,1.0651623,0.35009074,0.44595242,0.0,0.58702147,1.0529013,0.22309516
breakthroughmovie,0.9082596,1.3006634,0.92355096,0.0,1.191052,1.0720607,0.8288011,1.1163528,0.6157617,1.0748655,0.8605838,0.9339616,0.9483383,0.5958238,1.3132176,0.8918133,1.5349823,1.1457229,0.0,1.0561979,1.2246847,1.0596097,0.9581613,0.5870719,0.68706906,1.0094088,0.76049685,0.5321254,1.5207549,1.5245143,0.92436254,0.0,0.48270276,0.78267103,0.6641963,1.7464466,0.338498,0.742156,1.183574,0.80157584,1.138119,1.141394,0.0,1.3489329,0.83014596,1.4637213,1.0163069,0.84565336,1.0997757,1.292925,1.996607,1.2538794,1.036927,0.9399321,0.93741053,0.42461148,0.0,0.75204116,1.3036953,0.7117894
brianbanksmovie,0.80658585,0.91946423,0.73683965,0.0,0.7191328,0.66234624,0.41283706,0.46108457,0.68746454,0.76430583,0.6377456,0.64918596,0.52343684,0.59634596,0.8679991,0.73588705,0.90747243,0.70646495,0.0,0.8456226,0.54105294,0.5586822,0.7647752,0.7025659,0.51252276,0.7906015,0.68499947,0.24894899,1.0596877,0.84937984,0.4813087,0.0,0.10051453,0.5079433,0.58562,0.85062873,0.6548458,0.551293,0.6591376,0.592272,0.5572228,0.42652145,0.0,0.8560683,0.48685193,0.8510873,0.8344816,0.7578561,0.5751664,0.5239053,0.9322272,0.9160936,0.6870863,0.41881722,0.44548512,0.21756734,0.0,0.59385455,0.5742697,0.32653534
brightburnmovie,0.44235215,0.68030727,0.5707355,0.0,0.47831923,0.8031366,0.504573,0.45557055,0.37996185,0.6403329,0.25419325,0.45879805,0.5029515,0.3852173,0.8976407,0.7339114,0.86209446,0.73916227,0.0,0.7299715,0.49417377,0.6306592,0.5636956,0.540444,0.45189905,0.45674318,0.30917454,0.18944515,0.87433314,0.7223143,0.24523963,0.0,0.14738756,0.48499793,0.30818224,0.6397542,0.45851433,0.65223205,0.7386535,0.31012908,0.5646319,0.4336363,0.0,0.6033918,0.55975425,0.81135553,0.6336128,0.41094807,0.60946846,0.573565,0.8457069,0.5019147,0.5965112,0.5365332,0.29720044,0.21320805,0.0,0.29490298,0.38129702,0.123448625
brittanyrunsmov,0.3747619,0.31361216,0.37096372,0.0,0.385839,0.4218136,0.19053921,0.30131888,0.3162471,0.3952288,0.28509519,0.49554718,0.29534635,0.32236513,0.28841773,0.28096694,0.6157693,0.42061132,0.0,0.43692392,0.39430606,0.34721544,0.45333534,0.25976312,0.34711733,0.47543827,0.21268165,0.10856575,0.6415446,0.45064902,0.19383432,0.0,0.10402129,0.39730844,0.092055455,0.54026663,0.23249467,0.3169347,0.3511812,0.05609199,0.453139,0.47587425,0.0,0.5288841,0.29008588,0.400716,0.45906296,0.35157526,0.4284925,0.22404784,0.45069894,0.48317355,0.27040303,0.19470204,0.323421,0.11689624,0.0,0.47959745,0.25749385,0.28788915
