movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
captainmarvelofficial,0.7313984,0.7662873,0.06414468,0.8234108,0.12543671,0.6695291,0.5340127,0.59678125,0.69014513,0.0,0.5171136,0.83063346,0.24244408,0.4572496,0.7805594,0.0,0.5837271,0.65246683,0.57651603,0.7563925,0.53156453,0.5150685,0.68538445,0.49462104,0.8657018,0.643629,0.0,0.7738528,0.09032559,0.46695212,0.14122061,0.6282417,0.85723454,0.756063,0.8895601,0.12771739,0.1851971,0.87268245,0.46088126,0.648863,0.867123,0.71790385,0.7561308,0.78028584,0.7997435,0.38985014,0.7890898,0.7237391,0.40685135,0.4870696
captivestatemovie,0.80819154,1.0195444,0.0,1.0352634,0.24217738,1.1825011,0.7074371,0.724244,0.8600142,0.0,0.86784345,1.0025419,0.35723323,0.8121925,0.8206692,0.0,0.7628388,0.57285094,0.71251315,0.6917301,0.83070135,0.6496739,0.44994113,0.4205303,1.2205601,1.0333049,0.0,0.81471467,0.16221322,0.7595577,0.21887451,0.95065135,0.77849895,0.9783559,0.84641695,0.44109488,0.0,1.001679,0.5548088,0.89396197,1.0189575,1.0248847,0.9885022,0.9809271,1.0686396,0.40015155,1.0417615,0.9837561,0.51531756,0.65106344
catsmovie,0.85136753,0.94558465,0.19564272,1.0382744,0.14621536,1.2170233,0.5229431,0.62721616,0.9954505,0.0,0.8977655,1.315024,0.16398247,0.6462938,0.8373964,0.0,0.70526475,0.4751622,0.63916385,0.76348406,0.9718021,0.47319734,0.6914485,0.878124,1.1907214,0.74361587,0.0,1.1509417,0.18780261,0.6655505,0.46985927,0.6792451,1.0911597,0.56342614,1.1543677,0.28047258,0.33384806,0.8035285,0.5437782,0.88852626,1.4838985,0.8927193,0.7449873,0.7175055,0.7604156,0.6945795,1.320332,1.4222064,0.49724126,0.71626306
charliesangels,1.0194955,1.2000222,0.32802886,1.6612556,0.43182138,1.5431944,0.6006158,1.0478404,1.2383609,0.0,1.1898388,1.4010316,0.58989376,1.0425588,0.9850631,0.0,0.8254643,0.64465654,1.286943,0.8646527,1.0466028,0.54737955,0.8466426,0.512051,1.4536936,1.2787468,0.0,1.2107127,0.19295478,1.0075364,0.15540193,1.0655195,1.2022387,0.8938787,1.5517678,0.30003908,0.2838669,1.3687979,0.6211459,1.0929561,1.528517,1.3668118,1.3052367,1.5007704,1.3474816,1.0239786,1.6908835,1.3544309,0.71699446,0.84032345
childsplaymovie,1.0903279,1.4273391,0.0,1.6684583,0.10973829,1.7204908,1.0534259,1.0535928,1.630033,0.0,1.2868199,1.3571116,0.7795618,1.3210578,1.0934886,0.0,1.1442596,1.4142722,0.9100914,1.5084127,1.2504423,0.76770633,0.68334204,0.55524826,1.8777544,1.2966247,0.0,1.4116751,0.048391774,0.88852274,0.4096066,1.0983019,0.7281117,1.0481768,1.5229313,0.12993652,0.050720215,1.2559706,0.5780913,1.2592491,1.8475256,1.1811496,0.91140443,1.4048108,1.3446754,0.7505136,1.7713797,1.5754297,0.5853187,1.0504214
clarathefilm,0.6684403,1.2961895,0.0,1.6608303,0.18116331,1.3943645,0.6111686,0.90258366,1.4518597,0.0,1.0972557,1.1032629,0.2938717,0.8874964,0.85092413,0.0,1.0289181,0.9229849,0.98302865,1.4275522,0.71001524,0.5339807,0.54828805,0.33103955,1.7305193,1.0920639,0.0,1.7326894,0.0,1.4950612,0.10423674,1.4655375,0.57038057,0.85509694,1.56308,0.0,0.35188687,1.0882703,0.86479676,1.6792243,1.5916867,0.8624767,1.1010723,1.4828354,1.4105042,0.707651,1.3569722,1.322062,0.0,0.67271435
coldpursuitmovie,0.4084972,0.538361,0.052196544,0.48023435,0.20329326,0.596631,0.40265095,0.42518955,0.48226333,0.0,0.30161354,0.5540381,0.23198937,0.3096024,0.46752167,0.0,0.45288432,0.34090635,0.39141577,0.6008867,0.30837733,0.36444667,0.4338596,0.19774646,0.6558641,0.42720068,0.0,0.41260967,0.12838669,0.45824456,0.14832704,0.48286575,0.4002554,0.4848372,0.50760216,0.121499375,0.05936872,0.46345827,0.368217,0.6347366,0.5338019,0.4692422,0.5345265,0.48930633,0.5423808,0.3470096,0.542371,0.45239267,0.25840244,0.44127855
countdown,0.6339648,1.3048506,0.118520156,1.0823311,0.04773036,1.1279359,0.55347496,1.0522192,0.7875372,0.0,0.6853173,1.0678385,0.65521204,0.89018047,0.9381052,0.0,0.6290492,0.94119245,0.66099334,1.0823845,0.6765873,0.61542976,0.81187403,0.3470055,1.0708956,0.6481462,0.0,0.9953637,0.0,0.7341293,0.21460699,1.0059863,0.73281926,0.8613014,0.8847312,0.10529098,0.25463742,0.92355025,0.55186206,0.922909,1.1631593,0.91805184,0.84184974,0.9821375,1.0520635,0.9656523,1.0474038,1.0148304,0.4777329,0.7107859
currentwarmovie,0.8561755,0.57225287,0.0,0.8665859,0.3004506,0.89949846,0.39189956,0.47451335,0.8531297,0.0,0.65454435,0.90077215,0.402888,0.5353401,0.65579975,0.0,0.61001855,0.528708,0.56377333,0.7855902,0.70518136,0.54269767,0.84818643,0.33687946,0.943398,0.7248111,0.0,0.7278079,0.21495274,0.58249974,0.20190062,0.73762584,0.6875423,0.7879311,0.7536279,0.20065327,0.17754662,0.58855623,0.6003235,0.8188176,0.97072774,0.7548847,0.89355963,0.6758945,1.0420471,0.4404099,0.87362885,0.82952875,0.39243197,0.6097399
darkwatersmovie,0.98515093,1.3072696,0.0,1.3297942,0.262077,1.1994749,0.7348958,0.96976286,1.0225941,0.0,0.9978572,1.0231034,0.49394113,0.77536464,0.90640515,0.0,0.844033,0.6879816,0.8814266,0.8429056,1.0392641,0.49638095,0.6188175,0.5733351,1.3754063,0.8094983,0.0,0.9804469,0.16457483,0.79708123,0.17173481,1.2042928,1.0479008,0.9286653,1.0999936,0.23393723,0.10952489,0.91113704,0.685363,0.8976351,1.380654,1.2051588,1.0876498,0.92202,1.2037157,0.7930975,1.0197793,1.111125,0.8551947,0.99171066
