,user,items,ratings
831,56,99,1
832,56,126,1
833,56,129,1
834,56,134,1
835,56,156,1
836,56,161,1
837,56,164,1
838,57,1,1
839,57,20,1
840,57,25,1
841,57,29,1
842,57,44,1
843,57,87,1
844,57,90,1
845,57,92,1
846,57,99,1
847,57,112,1
848,57,119,1
849,57,122,1
850,57,123,1
851,57,156,1
852,57,164,1
853,58,44,1
854,58,55,1
855,58,62,1
856,58,64,1
857,58,87,1
858,58,91,1
859,58,99,1
860,58,112,1
861,58,119,1
862,58,122,1
863,58,137,1
864,58,141,1
865,58,142,1
866,58,147,1
867,58,156,1
868,59,12,1
869,59,16,1
870,59,37,1
871,59,44,1
872,59,52,1
873,59,55,1
874,59,57,1
875,59,78,1
876,59,80,1
877,59,84,1
878,59,119,1
879,59,122,1
880,59,129,1
881,59,159,1
882,59,164,1
883,60,4,1
884,60,9,1
885,60,13,1
886,60,24,1
887,60,30,1
888,60,39,1
889,60,55,1
890,60,86,1
891,60,105,1
892,60,119,1
893,60,121,1
894,60,152,1
895,60,154,1
896,60,163,1
897,60,164,1
898,61,0,1
899,61,10,1
900,61,18,1
901,61,30,1
902,61,33,1
903,61,52,1
904,61,57,1
905,61,84,1
906,61,86,1
907,61,126,1
908,61,127,1
909,61,131,1
910,61,134,1
911,61,144,1
912,61,161,1
913,62,9,1
914,62,20,1
915,62,24,1
916,62,34,1
917,62,40,1
918,62,43,1
919,62,75,1
920,62,76,1
921,62,118,1
922,62,119,1
923,62,126,1
924,62,133,1
925,62,144,1
926,62,164,1
927,63,0,1
928,63,2,1
929,63,30,1
930,63,39,1
931,63,42,1
932,63,44,1
933,63,55,1
934,63,81,1
935,63,91,1
936,63,129,1
937,63,142,1
938,63,151,1
939,63,154,1
940,63,156,1
941,63,161,1
942,64,1,1
943,64,4,1
944,64,10,1
945,64,12,1
946,64,34,1
947,64,47,1
948,64,74,1
949,64,87,1
950,64,101,1
951,64,106,1
952,64,112,1
953,64,118,1
954,64,119,1
955,64,134,1
956,64,159,1
957,65,28,1
958,65,30,1
959,65,44,1
960,65,58,1
961,65,68,1
962,65,79,1
963,65,91,1
964,65,108,1
965,65,121,1
966,65,126,1
967,65,127,1
968,65,129,1
969,65,142,1
970,65,151,1
971,65,161,1
972,66,6,1
973,66,8,1
974,66,16,1
975,66,38,1
976,66,57,1
977,66,73,1
978,66,75,1
979,66,104,1
980,66,110,1
981,66,116,1
982,66,130,1
983,66,135,1
984,66,137,1
985,66,149,1
986,66,150,1
987,67,0,1
988,67,28,1
989,67,34,1
990,67,49,1
991,67,57,1
992,67,58,1
993,67,68,1
994,67,74,1
995,67,78,1
996,67,101,1
997,67,127,1
998,67,128,1
999,67,144,1
1000,67,154,1
1001,67,164,1
1002,68,3,1
1003,68,22,1
1004,68,23,1
1005,68,25,1
1006,68,34,1
1007,68,75,1
1008,68,77,1
1009,68,112,1
1010,68,119,1
1011,68,122,1
1012,68,123,1
1013,68,128,1
1014,68,137,1
1015,68,144,1
1016,68,156,1
1017,69,3,1
1018,69,9,1
1019,69,18,1
1020,69,44,1
1021,69,49,1
1022,69,55,1
1023,69,63,1
1024,69,86,1
1025,69,112,1
1026,69,129,1
1027,69,135,1
1028,69,142,1
1029,69,152,1
1030,69,156,1
1031,69,164,1
1032,70,34,1
1033,70,37,1
1034,70,47,1
1035,70,49,1
1036,70,78,1
1037,70,82,1
1038,70,112,1
1039,70,115,1
1040,70,118,1
1041,70,122,1
1042,70,126,1
1043,70,127,1
1044,70,129,1
1045,70,164,1
1046,71,0,1
1047,71,2,1
1048,71,26,1
1049,71,45,1
1050,71,62,1
1051,71,85,1
1052,71,93,1
1053,71,123,1
1054,71,125,1
1055,71,127,1
1056,71,143,1
1057,71,147,1
1058,71,149,1
