Account,tconst,averageRating,numVotes
itmovieofficial,tt7349950,6.6,160119
jayandsilentbob,tt6521876,5.8,10433
johnwickmovie,tt6146586,7.5,227161
jojorabbitmovie,tt2584384,8.0,149239
jokermovie,tt7286456,8.6,701017
judythefilm,tt7549996,6.9,25131
jumanjimovie,tt7975244,6.8,93429
justmercyfilm,tt4916630,7.5,11943
knivesout,tt8946378,8.0,204891
lalloronamovie,tt4913966,5.3,30094
lastblackmansf,tt4353250,7.4,9004
lastchristmasthemovie,tt8623904,6.5,28639
latenightmovie,tt6107548,6.5,19393
lighthousemovie,tt7984734,7.7,79462
lionking,tt6105098,6.9,170075
littlethemovie,tt8085790,5.4,8423
littlewomenmovie,tt3281548,8.0,66864
littlewoodsfilm,tt6418918,6.1,1778
longshotmovie,tt2139881,6.9,71756
lordsofchaosmovie,tt4669296,6.5,9921
lucyintheskyfilm,tt4682804,4.7,2704
mamovie2019,tt7958736,5.6,28290
marriagestory,tt7653254,8.0,182726
meettheaddams,tt1620981,5.8,16511
meninblack,tt2283336,5.6,87593
midsommarmovie,tt8772262,7.1,122654
midwaymovie,tt6924650,6.7,32048
missbalamovie,tt5941692,5.7,6504
missinglinkfilm,tt6348138,6.7,16145
motherlessbklyn,tt0385887,6.8,22285
onceinhollywood,tt7131622,7.7,399986
onthebasisofsex,tt4669788,7.0,18550
overcomermovie,tt8186318,6.5,2614
peanutbutterfalcon,tt4364194,7.7,34547
petsematarymovie,tt0837563,5.7,68262
piercingmovie,tt6516314,5.6,4971
playingwithfire,tt9134216,4.8,6033
playmobilthemovie,tt4199898,4.6,1958
pomsmovie,tt5125894,5.7,2734
queenandslim,tt8722346,7.0,9882
rambomovie,tt1206885,6.2,58436
readyornotfilm,tt7798634,6.8,66626
richardjewellfilm,tt3513548,7.5,19460
rocketmanmovie,tt2066051,7.3,98047
scarystoriesmovie,tt3387520,6.2,43475
secretlifeofpets,tt5113040,6.5,38481
serenityfilm,tt6476140,5.3,29541
shaftmovie,tt4463894,6.4,36844
shazammovie,tt0448115,7.1,218773
spidermanmovie,tt6320628,7.5,267136
spiesindisguise,tt5814534,6.8,9268
starwars,tt2527338,6.8,261070
stormboymovie,tt3340446,6.9,2082
stubermovie,tt7734218,6.1,28382
taosdfilm,tt7339248,6.7,18683
teenspiritmov,tt6483364,6.1,6306
terminator,tt6450804,6.3,101568
theaeronautsmov,tt6141246,6.6,16260
thebestofenemies,tt4807408,7.1,6161
thedeaddontdie,tt8695030,5.5,37661
thefarewell,tt8637428,7.7,31677
thehighwaymen,tt1860242,6.9,61094
thehummingbirdprojectfilm,tt6866224,6.2,8758
theintrudermovie,tt6722030,5.5,9413
theirishmanfilm,tt1302006,8.0,252702
thekitchenmovie,tt5822564,5.3,9219
thelegomovie,tt3513498,6.6,46100
themustangfilm,tt5952594,6.9,7379
thenightingalefilm,tt4068576,7.3,12136
theprodigymovie,tt4504044,5.8,19395
thesunisalsoastar,tt6423362,5.8,4030
theupsidefilm,tt1987680,6.9,37874
tolkienmovie,tt3361792,6.8,23464
toystory,tt1979376,7.8,161548
triplefrontier,tt1488606,6.5,91459
uglydolls,tt1946502,4.9,4338
uncutgems,tt5727208,7.6,112828
underthesilverlake,tt5691670,6.5,26471
usmovie,tt6857112,6.9,185549
wavesmovie,tt8652728,7.7,7938
whatmenwant,tt7634968,5.2,16875
wonderparkmovie,tt6428676,5.8,7851
wrinklestheclown,tt9097270,4.7,537
xmenmovies,tt6565702,5.8,125765
yardiefilm,tt5862902,5.8,2248
yesterdaymovie,tt8079248,6.9,79700
zombieland,tt1560220,6.8,87731
