Account,tconst,averageRating,numVotes,Uid,Posts,Followers,Likes,Comments
fastandfuriousmovie,tt6806448,6.5,134511,211430315,876,3933998,31936779,355189
fightingwmyfam,tt6513120,7.1,52919,6466112368,124,48998,445391,6249
fivefeetapartfilm,tt6472976,7.2,29859,7486555109,150,653819,10880445,132101
fordvferrari,tt1950186,8.2,157190,8103614202,124,49076,661264,8887
freaksthefilm,tt8781414,6.7,12059,8324881939,144,3507,21119,782
geminimanmovie,tt1025100,5.7,56304,6280766024,76,81105,634985,11609
glassmovie,tt6823368,6.7,183252,6278928568,116,74770,765945,13932
gloriabellmovie,tt6902696,6.3,7429,8467165095,31,1881,8010,274
godzillamovie,tt3741700,6.1,110281,7818844295,151,133693,1490780,23191
goldfinchmovie,tt3864056,6.2,9389,7059118462,85,100486,1122529,9915
goodboysmovie,tt7343762,6.7,42113,8243819739,69,37567,255541,5223
goodliarmovie,tt5563334,6.5,11972,8146220842,75,1981,8967,222
gretafilm,tt2639336,6.0,20094,8564209735,82,3853,105363,3795
halathemovie,tt6348410,5.7,1039,9390825969,48,9526,7147,169
happydeathdaymovie,tt8155288,6.2,46071,5498582562,175,57792,468587,11860
harrietfilm,tt4648786,6.3,11330,8501255653,93,19808,118855,3556
hellboymovie,tt2274648,5.2,67579,5951411644,125,56479,614537,9283
hersmellmovie,tt7942742,6.2,3407,9376116009,76,12310,58385,1394
highlifemovie,tt4827558,5.9,21768,8610789305,32,2727,16467,332
highstrungmovie,tt6428150,6.1,399,788531552,2519,72131,1388773,19823
honeyboymovie,tt8151874,7.4,11001,10841972547,190,28129,400431,7095
hotelmumbaifilm,tt5461944,7.6,41680,8476091677,55,4863,35228,975
httydragon,tt2386490,7.5,87927,7531932519,347,189938,4914995,59899
hustlemovie,tt1298644,5.4,34511,7033301780,154,23360,958160,14351
hustlersmovie,tt5503686,6.3,55503,8689409756,182,245073,2654173,41838
isntitromantic,tt2452244,5.9,54957,5641757280,134,30917,348990,5589
itmovieofficial,tt7349950,6.6,160119,3703675311,471,1755554,29169520,270767
jayandsilentbob,tt6521876,5.8,10433,1713601298,1120,367727,4455083,85174
johnwickmovie,tt6146586,7.5,227161,2257888506,322,362612,4120141,57591
jojorabbitmovie,tt2584384,8.0,149239,7331416824,153,79943,864647,12635
jokermovie,tt7286456,8.6,701017,10576906076,173,1024042,13310747,108005
judythefilm,tt7549996,6.9,25131,10824261072,136,10120,159229,4586
jumanjimovie,tt7975244,6.8,93429,3738990401,394,283663,2259478,22825
justmercyfilm,tt4916630,7.5,11943,8144799149,171,31946,178047,3036
knivesout,tt8946378,8.0,204891,9258896662,147,66695,798386,9957
lalloronamovie,tt4913966,5.3,30094,8095010915,92,31712,271614,12827
lastblackmansf,tt4353250,7.4,9004,10225923414,63,9649,44161,1281
lastchristmasthemovie,tt8623904,6.5,28639,8791123446,120,74099,643073,12176
latenightmovie,tt6107548,6.5,19393,10805345799,125,8337,161301,2512
lighthousemovie,tt7984734,7.7,79462,12971264293,51,28766,253269,4706
lionking,tt6105098,6.9,170075,5705213455,136,472984,6604085,93772
littlethemovie,tt8085790,5.4,8423,8298561512,135,61499,471147,6691
littlewomenmovie,tt3281548,8.0,66864,8583940386,217,277281,4871651,29140
littlewoodsfilm,tt6418918,6.1,1778,8014259285,43,1580,12958,266
longshotmovie,tt2139881,6.9,71756,10686075204,75,10599,58020,1456
lordsofchaosmovie,tt4669296,6.5,9921,9625533417,49,8764,46759,2726
lucyintheskyfilm,tt4682804,4.7,2704,9480804900,45,5110,20299,382
mamovie2019,tt7958736,5.6,28290,8396678232,101,33719,139871,5375
marriagestory,tt7653254,8.0,182726,13559723244,87,42087,453870,5944
meettheaddams,tt1620981,5.8,16511,7945832527,235,95498,1961121,33980
meninblack,tt2283336,5.6,87593,7725712622,164,128253,1807703,26785
midsommarmovie,tt8772262,7.1,122654,9275011956,68,34706,295564,13501
midwaymovie,tt6924650,6.7,32048,8431584099,83,26296,186758,3349
missbalamovie,tt5941692,5.7,6504,8612071461,112,22760,132768,3289
missinglinkfilm,tt6348138,6.7,16145,7667206662,165,12114,250696,7735
motherlessbklyn,tt0385887,6.8,22285,14799174961,81,6254,29210,838
onceinhollywood,tt7131622,7.7,399986,7289376945,205,260906,4165750,39159
onthebasisofsex,tt4669788,7.0,18550,2062886391,133,9250,98676,1751
overcomermovie,tt8186318,6.5,2614,7955113516,202,30090,194640,4669
peanutbutterfalcon,tt4364194,7.7,34547,2089134022,189,26574,379689,10063
petsematarymovie,tt0837563,5.7,68262,6734616111,86,20764,131770,4351
piercingmovie,tt6516314,5.6,4971,8357500881,59,923,3673,124
playingwithfire,tt9134216,4.8,6033,14777336296,61,6097,25520,574
playmobilthemovie,tt4199898,4.6,1958,8717961999,55,2302,11672,444
pomsmovie,tt5125894,5.7,2734,10325444887,73,3047,19884,847
queenandslim,tt8722346,7.0,9882,8277418353,154,80697,772444,14101
rambomovie,tt1206885,6.2,58436,5402598485,156,123186,864954,14042
readyornotfilm,tt7798634,6.8,66626,8657053493,76,16033,136109,4791
richardjewellfilm,tt3513548,7.5,19460,20481046111,45,4140,24212,733
rocketmanmovie,tt2066051,7.3,98047,7898087608,116,101728,1163931,15380
scarystoriesmovie,tt3387520,6.2,43475,2282351094,100,65971,382584,13303
secretlifeofpets,tt5113040,6.5,38481,2076867532,544,176224,2739924,59875
serenityfilm,tt6476140,5.3,29541,7632270248,67,8611,30974,765
shaftmovie,tt4463894,6.4,36844,8469663508,104,15558,97964,1890
shazammovie,tt0448115,7.1,218773,2074340291,198,288578,3445717,29325
spidermanmovie,tt6320628,7.5,267136,575076729,887,2332499,33504986,220913
spiesindisguise,tt5814534,6.8,9268,7749948488,130,40545,1601721,15007
starwars,tt2527338,6.8,261070,625833324,3763,12910480,367168106,2941753
stormboymovie,tt3340446,6.9,2082,10569838566,51,547,9012,203
stubermovie,tt7734218,6.1,28382,7541988844,101,6776,192317,2049
taosdfilm,tt7339248,6.7,18683,6000269570,92,3543,37420,968
teenspiritmov,tt6483364,6.1,6306,8792607478,47,8571,89814,1189
terminator,tt6450804,6.3,101568,1294957884,115,154906,847850,19567
theaeronautsmov,tt6141246,6.6,16260,6272811406,72,5212,36982,609
thebestofenemies,tt4807408,7.1,6161,8673136993,71,5011,18254,427
thedeaddontdie,tt8695030,5.5,37661,8209777286,93,27936,312714,7140
thefarewell,tt8637428,7.7,31677,12399064246,92,18092,155029,2522
thehighwaymen,tt1860242,6.9,61094,10875425397,45,1529,7880,319
thehummingbirdprojectfilm,tt6866224,6.2,8758,9462711557,36,2849,16782,372
theintrudermovie,tt6722030,5.5,9413,8585776123,109,10016,91394,1887
theirishmanfilm,tt1302006,8.0,252702,10190434943,76,50795,403548,7521
thekitchenmovie,tt5822564,5.3,9219,7907370129,76,11622,40849,1099
thelegomovie,tt3513498,6.6,46100,1286963634,281,95703,776761,9562
themustangfilm,tt5952594,6.9,7379,8502627832,100,5886,32302,1434
thenightingalefilm,tt4068576,7.3,12136,10459849859,20,1929,5962,246
theprodigymovie,tt4504044,5.8,19395,8536082947,106,12440,637139,17285
thesunisalsoastar,tt6423362,5.8,4030,8014440963,119,72936,930875,8265
theupsidefilm,tt1987680,6.9,37874,4058138835,145,18616,82309,2854
tolkienmovie,tt3361792,6.8,23464,9278611036,78,37162,298739,3983
toystory,tt1979376,7.8,161548,8197720659,148,510693,4990299,59024
triplefrontier,tt1488606,6.5,91459,9188405541,58,17916,85807,3456
uglydolls,tt1946502,4.9,4338,1430177837,1165,47549,617499,15798
uncutgems,tt5727208,7.6,112828,5498376142,76,42834,367712,6715
underthesilverlake,tt5691670,6.5,26471,5956895944,22,1896,7615,212
usmovie,tt6857112,6.9,185549,7701828816,156,63877,752473,21792
wavesmovie,tt8652728,7.7,7938,18513735865,68,11650,100504,1762
whatmenwant,tt7634968,5.2,16875,6438477602,114,22682,99022,3125
wonderparkmovie,tt6428676,5.8,7851,7472215985,92,7033,81359,1548
wrinklestheclown,tt9097270,4.7,537,16149244607,72,19564,108787,3289
xmenmovies,tt6565702,5.8,125765,401420930,1333,1036371,12189097,115918
yardiefilm,tt5862902,5.8,2248,6552487116,47,6574,25558,1436
yesterdaymovie,tt8079248,6.9,79700,10390112691,118,45500,500137,8931
zombieland,tt1560220,6.8,87731,9139732106,151,97918,1013914,11326
