movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
jayandsilentbob,1.4437901,1.5085098,1.0529516,2.472893,1.3350474,0.42613637,0.124630235,1.2268931,1.5469472,0.0,0.7569415,1.3525476,1.0545858,1.5315311,0.8771386,1.0401918,0.94973624,1.3383617,0.885896,1.5537533
johnwickmovie,1.105495,1.1253488,1.0024146,1.3726703,0.6286991,0.43600568,0.0,1.5499796,1.1251979,0.0,0.72901917,1.1784375,1.1309019,1.505944,1.247489,1.0950274,0.8991069,1.0708119,0.9951943,1.328993
jojorabbitmovie,0.47212684,0.6741068,0.64648694,1.2308764,0.7348572,0.33891854,0.21021056,0.78450733,0.79037666,0.0,0.5119547,0.98878175,1.0420803,0.5231721,0.46723047,0.6527359,0.7601532,0.7627011,0.6637453,0.7454291
jokermovie,0.935547,0.9364248,0.81091684,1.3858792,0.79625934,0.41305646,0.37278038,1.0931292,0.82802194,0.0,0.5715058,1.0901701,0.87446594,0.9282662,0.7676094,0.7335699,0.75888455,1.0121896,0.5221045,0.84978205
judythefilm,0.7397268,0.8993982,0.48378503,1.1900494,0.57492894,0.24955618,0.1956898,0.8375653,0.5817182,0.039432433,0.30461738,1.1698736,0.57152873,0.7461084,0.593842,0.7406836,0.7827153,0.63068485,0.5442594,0.61723053
jumanjimovie,1.3712093,1.5147631,1.2859991,1.8497869,0.997268,0.47711736,0.3216443,1.4512066,1.3437318,0.0,1.0069551,1.8043118,1.2529551,0.9826174,0.99213475,1.0813284,1.4489574,0.8800531,0.884212,1.37321
justmercyfilm,0.9986084,1.130166,0.90209657,1.5066046,0.8315586,0.44655314,0.16748591,1.1251875,1.0591676,0.0,0.7172969,1.0842468,1.0355481,0.992827,0.9024531,0.51866186,0.4441049,1.2824892,0.6818305,0.9272638
knivesout,1.1270077,0.67681944,0.7233481,1.9353603,0.6164999,0.48403102,0.28748924,1.3673208,1.0407039,0.124093965,0.7338987,1.7658923,1.1764034,0.81833047,0.7851092,1.2005632,1.1326188,0.9334363,0.9487366,1.4171919
lalloronamovie,0.71182567,0.9950119,0.5547816,1.3929036,0.6340341,0.40590373,0.12884103,0.91108674,0.74724156,0.0,0.46036902,1.1447203,0.60262287,0.7568633,0.65231574,0.6581736,0.7291387,0.7298225,0.55272555,0.69101423
lastblackmansf,1.3635064,1.5542256,1.4158642,2.0573776,0.5054368,0.398481,0.026987344,1.886198,1.0593973,0.0,0.74385065,1.1730789,1.1286745,1.2778416,1.0483673,0.76170975,0.9496582,1.820808,0.9874619,1.1519957
