1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
100-5dim,0.010377946100397457,-0.02025250605911182,-0.029655890583076588,-0.03906237287281947,-0.06101214534723223,-0.08144930125657573,-0.07656928237028021,-0.0780546484819066,-0.07653828172354811,-0.08635087009144454,-0.08527915464664333,-0.09527212932866658,-0.07552724393835183,-0.10691279911661289,-0.11721420437351295,-0.09334287501968917,-0.12205860026542245,-0.11512336678447221,-0.10445597339739444,-0.11237468973991402,-0.12102923291191339,-0.11577707375332727,-0.1131712501791647,-0.11781526120740954,-0.11547545142643739,-0.11527038649227304,-0.10747985276142659,-0.1116913039941291
20-10dim,0.18645762468138677,0.12236395282761835,-0.03955422007851941,-0.07349916760279532,-0.06394083870849163,-0.0829787232952095,-0.06789887442373427,-0.08485492027041765,-0.0943372030454213,-0.08741979467809158,-0.0801735654819267,-0.0846411301354515,-0.08461016937328737,-0.08474321717150335,-0.0774482880722324,-0.09320587845793883,-0.11416112301213266,-0.09300401778731256,-0.09887130916374554,-0.09777161964288161,-0.0980994687683087,-0.12291228544728733,-0.08847071555121586,-0.08975086529316166,-0.07677540127024993,-0.08551423704620058,-0.12463394014629751,-0.11387403221269027
20-15dim,0.16834854513505726,0.05878810467820357,0.03227909839276949,-0.07972030710667814,-0.09015296129187225,-0.07321217301452053,-0.06862753583312488,-0.08054491022334952,-0.11339882575619686,-0.10928506989640542,-0.09482889875327198,-0.1117108327750578,-0.12185745400345305,-0.12056919400344468,-0.09862731130060917,-0.11382303292126474,-0.11680930832181485,-0.09518033482776757,-0.11380176440314586,-0.10263574765487227,-0.08800254958120678,-0.0910287424933904,-0.10346103216994038,-0.10018711181235081,-0.100731407575069,-0.11190498545590734,-0.11626134330897855,-0.12065637988038508
20-5dim,0.06727768559748273,-0.029957733457618572,-0.04783782790729961,-0.0360806926453579,-0.04850820575617234,-0.05000548483431322,-0.056208120349739106,-0.061430995514148774,-0.060430373611562525,-0.058120474400670044,-0.05603607079891545,-0.12263387954063709,-0.07011206003691506,-0.07827983707372332,-0.07207741145111583,-0.08460467414174684,-0.12446450372674053,-0.17073729545237343,-0.15328606413096568,-0.08180878857731401,-0.1185239581045126,-0.0881230143354829,-0.1565319860251388,-0.1184329662675975,-0.11544112841763152,-0.11835552642616576,-0.11806023752086736,-0.11661066997382491
30-10dim,0.17657043207277667,0.042603325343864594,0.019292998669933704,0.009794570463661731,-0.08656630291282917,-0.07262147229527498,-0.07355543227627849,-0.08444810874372301,-0.06814691194459514,-0.07797146269064474,-0.07719212495609803,-0.07880714191052414,-0.07913682967035048,-0.09402744530946752,-0.08910898485135349,-0.08375395425626363,-0.09469086237990187,-0.0862314612590551,-0.08196496124794549,-0.09360713899945237,-0.09322303002012888,-0.11556515661407181,-0.097005575801412,-0.08382889082916457,-0.09022865279478016,-0.11306497005087146,-0.08901428072978085,-0.08660613600216434
30-15dim,0.11538323441559427,0.038800825150931195,0.006032765351565299,-0.08222500832141777,-0.04340622187579579,-0.07784449973908834,-0.07417467950682646,-0.07962367533053297,-0.0816843200649959,-0.07785187599109139,-0.04943425198232116,-0.06053782719088954,-0.07128997176136757,-0.08353647386096884,-0.07603158891673784,-0.07858624638618095,-0.07222119149873875,-0.06685345650727458,-0.07768091495369078,-0.07958256609279403,-0.09998580771034198,-0.09965316831517256,-0.09750283537899042,-0.07816364347508295,-0.09022422579613684,-0.12649692216431038,-0.06816347646982632,-0.12447416949538045
30-20dim,0.11659913221050773,0.02595582491919689,-0.02700505377989187,-0.043180625943476846,-0.0749398881184342,-0.10948768111434314,-0.0798649236077194,-0.10941082196834753,-0.11831265404448993,-0.09756820214693858,-0.11536603942501986,-0.10651212919867901,-0.11004444732223576,-0.10468108923133097,-0.11686283201129019,-0.11035015598943151,-0.1707244143320222,-0.10319915917500405,-0.11883681699944923,-0.1024581310155117,-0.15799815273604653,-0.10673149897926634,-0.0993085630071857,-0.1277164091466683,-0.09711363593877634,-0.15905702162513297,-0.14890469824878652,-0.13479949309444228
30-25dim,0.09336122176960913,0.015450699838048419,-0.01829107357884629,-0.0849274867327758,-0.09966906374813383,-0.09124373602612672,-0.09775613016896655,-0.11305808159715657,-0.11956148543592887,-0.09239059432881146,-0.08239978394808758,-0.09878998574755109,-0.09620510802851259,-0.09160448468601322,-0.08916799962594213,-0.11864756567279872,-0.117956113336848,-0.10051405902867334,-0.10464595924242012,-0.10822196984279882,-0.13608912811512858,-0.09482971874055374,-0.11014778789187096,-0.10750535495279692,-0.09318744266399635,-0.10267004172567487,-0.10890051179764297,-0.1424762699570896
30-5dim,0.5777363307696258,0.034409172440756315,-0.01468285952222389,-0.012229277845877722,-0.029304711593884737,-0.05056907912854329,-0.04451270441700258,-0.04675621465158371,-0.0539312677270838,-0.05926695649780374,-0.07890776819894481,-0.07167327590595811,-0.07614464436551768,-0.08923724354771023,-0.0876787164560143,-0.09000908954773289,-0.07972320740710867,-0.08994881963963954,-0.07123443049799244,-0.10577751089646033,-0.08807444502809315,-0.08173275243146892,-0.09085224764422734,-0.10183956240596169,-0.094250648280781,-0.10384678803805303,-0.0994303645829078,-0.10678981614972267
40-10dim,0.13348375066360668,0.05230844805702476,0.05108188002662264,0.028639695316339715,-0.039826837717842,-0.07894940132008729,-0.04826738237887871,-0.06899858992639353,-0.08188352140598047,-0.07654494010485383,-0.08720825586866858,-0.07366634582963276,-0.08295672816980591,-0.0844276419641803,-0.07271568872315105,-0.08558972984893384,-0.08383398940999275,-0.08152402750713605,-0.07019323283879435,-0.07454543145006258,-0.0925328902662977,-0.09765026062381733,-0.08733633069998682,-0.10017451131986521,-0.09406083331060867,-0.10424761303361622,-0.07987923192722757,-0.10092521510779393
