movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
blackandbluemovie,1.5287527,0.6105129,0.7966105,0.8341728,0.8983591,1.0274848,0.831506,0.0,0.34213647,0.5414882,1.4424211,1.2184769,0.6306679,1.1364543,0.9993876,0.93280166,0.19337429,0.0,1.2222643,1.3570327,0.82549524,0.467662,0.85906273,0.74321693,0.6945477,1.1724977,0.7561054,0.72813237,0.7217215,0.7745718,1.1032006,0.805457,0.6648811,1.0428587,0.18243283,0.17564301,0.4365836,1.2301862,0.69002247,0.45440492,0.4069986,0.8834495,0.092014715,1.2411805,1.1124411,0.46714765,0.57171714,0.0,1.5674001,0.90129185
blackchristmas,0.95107037,0.53750795,0.46777633,0.62810177,0.3449242,0.21837418,0.85777026,0.0,0.27472186,0.3425902,0.75635964,0.79816103,0.33894446,0.87350404,0.75985134,0.7609606,0.023072638,0.11612108,0.8958375,0.87906444,0.37211582,0.38926607,0.5581268,0.5444091,0.59143806,0.73340595,0.6922787,0.43626934,0.37158623,0.524417,0.45455343,0.44769967,0.6631357,0.408574,0.0,0.067811355,0.25926003,0.51552355,0.7071884,0.36356756,0.28268567,0.50455767,0.3271281,0.64302444,0.5909308,0.16189212,0.5322818,0.0,0.5237951,0.38364708
blindedbythelightmovie,0.41298342,0.19260146,0.28365216,0.23718914,0.14106531,0.20274572,0.40117654,0.0,0.23843083,0.21948081,0.32267427,0.4759565,0.20265818,0.3165262,0.26990786,0.29803112,0.094855666,0.09687011,0.36045337,0.33004496,0.24104899,0.23102254,0.161343,0.2612686,0.16047905,0.3194149,0.16975906,0.2970422,0.22194579,0.21414156,0.28361046,0.15579674,0.21313782,0.30920666,0.12664162,0.09641781,0.21329916,0.22177783,0.34711143,0.20199981,0.1707249,0.26651135,0.1721271,0.38783923,0.22855131,0.10975128,0.27633676,0.0,0.22414814,0.20999938
bombshellmovie,1.3288858,0.8333669,0.8937229,0.55914474,0.0,0.22591412,0.82614136,0.0,0.58087176,0.3279586,0.93210715,1.0740792,0.48304588,1.166248,0.913677,0.9376071,0.2158974,0.1356486,0.8527728,0.9114214,0.60261166,0.2976479,0.7824318,0.6990467,0.5108356,1.119074,0.6655673,0.91577286,0.6445681,0.69460124,0.9221417,0.3563494,1.0753478,0.911511,0.0,0.0,0.8192922,0.58961475,1.2891375,0.36295012,0.68807125,1.0086607,0.32178223,1.0803934,0.61367774,0.4145426,0.993934,0.0,0.8660932,0.67413867
booksmart,0.0,0.26510337,0.0,0.0,0.15628448,0.019213218,0.19276758,0.0,0.0,0.0,0.105823785,0.0,0.0,0.0,0.26091707,0.26402792,0.0,0.025075605,0.10071638,0.1042368,0.14261575,0.0,0.0,0.0,0.0,0.0,0.2901751,0.0011910722,0.18009675,0.0,0.0,0.22317737,0.5056493,0.02482859,0.0,0.0,0.081576586,0.0,0.37320253,0.0,0.0,0.2252158,0.12649435,0.30749974,0.1227632,0.286243,0.0,0.060153384,0.0,0.07629021
breakthroughmovie,1.5577267,0.48656234,0.9705266,1.076077,0.85486054,0.8522748,1.4928871,0.0,0.24759363,0.60518795,1.0870068,1.5809039,0.8208976,0.9950421,1.3090641,1.1611916,0.44419733,0.0,1.500801,1.1558173,0.5043054,0.5317415,0.51524407,0.77127147,0.6654088,1.5217651,0.67110264,0.8295152,0.3515929,0.9609201,0.65903604,0.68732303,0.6394711,1.2109717,0.08941348,0.040300258,0.46724865,0.8935214,1.2369179,0.74148375,0.26709884,0.867658,0.12700674,1.6406446,1.1867404,0.609676,0.5111358,0.056234013,1.352884,0.66216385
brianbanksmovie,1.1878287,0.48054358,0.7514665,0.93214554,0.3972132,0.79921895,0.9657078,0.0,0.37965745,0.35131684,1.0189805,1.3662552,0.6666519,0.7417974,1.0356867,0.8732429,0.0064600166,0.3683161,1.2617259,0.92656636,0.65192103,0.5249806,0.8873557,0.7096585,0.58870053,1.1252267,0.5416694,0.6920745,0.38100204,0.80251294,0.97609854,0.658544,0.937732,0.6846437,0.31358558,0.15396911,0.52269256,0.7320856,1.0697563,0.39181036,0.30730343,0.7241335,0.11049283,0.9201177,0.80980974,0.30139822,0.795359,0.0,1.0134342,0.6843592
brightburnmovie,0.8801182,0.5149371,0.39488682,0.43182668,0.35492313,0.5471954,0.635277,0.0,0.2518674,0.26737106,0.6326844,0.71098506,0.4000974,0.5954191,0.44222113,0.51419854,0.13072687,0.0,0.6603888,0.70919764,0.39728585,0.3599827,0.59202063,0.5560315,0.3642338,0.62482023,0.4659989,0.50316626,0.37484503,0.3155337,0.65308315,0.36442643,0.42500904,0.5261839,0.24236012,0.16034772,0.23854205,0.628907,0.47263655,0.26234382,0.1201566,0.4135989,0.076103,0.76410204,0.67226416,0.25063398,0.47729495,0.0,0.73025084,0.3775761
brittanyrunsmov,0.69797254,0.3366162,0.3933346,0.20424487,0.44216824,0.32672256,0.41058487,0.0,0.25520834,0.26356608,0.34190834,0.46578127,0.23596703,0.61596453,0.4810092,0.36740768,0.22645172,0.20208932,0.50554436,0.52162576,0.17286359,0.26012942,0.28610617,0.27570063,0.31085593,0.48790306,0.24761228,0.40802896,0.33044326,0.32882977,0.2354878,0.23471166,0.31860903,0.27332366,0.15125796,0.17728435,0.23074126,0.4615103,0.5435713,0.09267347,0.28234684,0.42879626,0.2257614,0.4430207,0.2925607,0.17383805,0.358844,0.0,0.52859986,0.2835701
captainmarvelofficial,0.83626986,0.45546448,0.5015896,0.42356062,0.51126516,0.29993895,0.81501096,0.0,0.55885017,0.3008732,0.59143513,0.72739184,0.40183836,0.5757263,0.40184593,0.6848641,0.20940202,0.0,0.47183368,0.7348279,0.34398904,0.30834857,0.34131435,0.54672223,0.639009,0.57420146,0.28113562,0.41129065,0.42799824,0.56938535,0.60217214,0.44772923,0.39696842,0.35523337,0.2725138,0.27826896,0.2732867,0.48213735,0.60655004,0.16406964,0.12589076,0.72197634,0.4776061,0.7026988,0.57720757,0.3220415,0.5050211,0.1640323,0.47423902,0.32369274
