1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
110-10dim,0.011848868942800432,0.012236280690631844,-0.06205100074839343,-0.06265767799178837,-0.06853854194374184,-0.0629098784897204,-0.07637943051013063,-0.07843147289985643,-0.08768508997480003,-0.08136108333312726,-0.07626286579763443,-0.08123048991286093,-0.08138285982837773,-0.08646149549103098,-0.08854404616194834,-0.08158357427918067,-0.09757855555681638,-0.10088696995271292,-0.08826101638222533,-0.08560172335017338,-0.07809025423050721,-0.09926215608196534,-0.09722239916719645,-0.0773948479876583,-0.09923817209635355,-0.08854118603210617,-0.1162657460173614,-0.09171950825763554
110-20dim,0.013500041188995364,-0.009013804163357862,-0.06311623470190628,-0.0737619594236453,-0.07447051626960721,-0.0831211191501033,-0.0792659139782955,-0.08264679568622593,-0.05698709883087362,-0.07589213471323812,-0.09170430180328384,-0.06981710671745614,-0.09470347560414923,-0.08307735419628902,-0.11813137530628096,-0.11311413220788351,-0.09689094028320613,-0.08231926295883041,-0.08208200677672407,-0.09576954596798924,-0.1319201350952845,-0.07530634838234301,-0.07555529041988951,-0.13051124886514312,-0.06880871402779212,-0.07605747818790042,-0.10329487333355854,-0.10090026135926189
110-30dim,0.02173933852889316,-0.007257150102040715,-0.0346436240208941,-0.08426169640925595,-0.09133134128027831,-0.06361459796552871,-0.06779457362498668,-0.06997508286664998,-0.08569404534222028,-0.08760667719749049,-0.11991000412087538,-0.11180273304254665,-0.10045204177584535,-0.11380442490940029,-0.061175355556090195,-0.1258302868926161,-0.1249111832369282,-0.1095033158467161,-0.10757440245600611,-0.10813533342147467,-0.10222264777397232,-0.09585921324740102,-0.06185059041634799,-0.13612815906944625,-0.08610383689172375,-0.09550631654063935,-0.08725049985290592,-0.08893298767445093
110-40dim,0.01657906701817106,0.00010050870234120354,-0.03398593573003828,-0.07564931153732234,-0.07649835412950919,-0.08194452432077423,-0.06568995321384109,-0.05597478193498082,-0.104527707476681,-0.09315950178707695,-0.10412893361117288,-0.10121480232681444,-0.09613485867712224,-0.11050251593083858,-0.10889998696759896,-0.10201145067976884,-0.10705400385453906,-0.10046245087522444,-0.10035983207742825,-0.09857127266485732,-0.10680558967533052,-0.09998978490895367,-0.09138782814629846,-0.09267857883268947,-0.08861088410605192,-0.09662000161059708,-0.1122079287864232,-0.09276864318903544
110-50dim,0.0456703772498204,-0.027464457454126873,-0.025671794383149413,-0.052624808582428656,-0.10483745430149652,-0.10415039786111074,-0.08836174367692522,-0.09956738583820468,-0.10479455621213708,-0.1088254682171972,-0.08982596870395422,-0.11192769017710186,-0.11781536114648003,-0.12080886794895176,-0.1113856903606154,-0.10091926833683174,-0.08774258388105809,-0.10872900732347046,-0.09553752826322202,-0.10876569351477865,-0.10393808064079016,-0.10403993042446814,-0.10436930923304254,-0.09976690574696796,-0.08372281143821117,-0.07820504689286058,-0.09337997307736337,-0.09839468460555006
110-60dim,0.03333849878963618,-0.01913231684446003,-0.04016347828570688,-0.0828272466510971,-0.03914001288792641,-0.0813221412575807,-0.07266347979579546,-0.09146609482065761,-0.09057832991225842,-0.06554370151985126,-0.10017757464838338,-0.07949801714054226,-0.08501903937894165,-0.0797218933496607,-0.08149057435514842,-0.09771308350192735,-0.15408089131742747,-0.09425987744972869,-0.09608280034820119,-0.10736350523670465,-0.10400183628964071,-0.09029463300528434,-0.08886309247805844,-0.09749642523892206,-0.08577509107582271,-0.0936516138504163,-0.0865602306790676,-0.0960680227959977
110-70dim,0.03751988729660109,-0.02913567770050879,-0.02680126285225863,-0.06666592392202579,-0.10625696375214472,-0.09255066591434233,-0.10209131811772212,-0.11012553772358837,-0.07917011971012994,-0.10453020516801045,-0.11081448439516871,-0.0993362789864083,-0.08486321121155346,-0.08479173328047689,-0.10184178839877386,-0.17445744874125413,-0.10193882446383412,-0.09214276759843094,-0.09120897283746943,-0.09627029349079849,-0.10029928940083893,-0.14758530383972368,-0.09759813494896871,-0.08606964906857227,-0.1452857620250379,-0.12298036215056868,-0.1129628747649721,-0.12881961948552037
110-80dim,0.027482264867983462,-0.02160121571494463,-0.02685055247905421,-0.026185557605669693,-0.08088878434106565,-0.027853200485964246,-0.08829686266999787,-0.07729621304592768,-0.08323436817222625,-0.04360062034911445,-0.09529796775512231,-0.09513206692786644,-0.14069688392262011,-0.08559436580087311,-0.07865578663490433,-0.07899151490323951,-0.21235063726690892,-0.10518916480548131,-0.15061596860651874,-0.12098559420191532,-0.09549336680378483,-0.0995194786546421,-0.11729532209119346,-0.0905761107662128,-0.18123852459782225,-0.06356797298653254,-0.09602582048119426,-0.1412664269280255
110-90dim,0.03568489397767489,-0.01884138748879885,-0.03780517627287799,-0.04707674877228573,-0.059758571327204524,-0.08241213050141309,-0.08093639750375516,-0.13460582927391582,-0.1734350747287987,-0.10001157699080655,-0.1526168249700375,-0.08096772300798462,-0.1608781500114914,-0.15999039207188845,-0.16160019959250774,-0.13308100910934442,-0.10468765532804089,-0.13718722514765008,-0.10999856420570267,-0.15298658790475636,-0.14809697517466466,-0.1510348663674372,-0.15077553508778957,-0.14303771267047585,-0.13877393166236007,-0.13597860877122872,-0.13642767157606264,-0.12934421736315796
120-100dim,0.06527550274168047,-0.002398488222369275,-0.08551985782001031,-0.08658194356698012,-0.08464528244932257,-0.08555733690818926,-0.07637933497769751,-0.07801204139302313,-0.07969876199230742,-0.0703184942330483,-0.11123384732458824,-0.06442672151506491,-0.08463258399190544,-0.06896440725211757,-0.056238080689903484,-0.13684155787927696,-0.07177238083402664,-0.08776912488228612,-0.061499282649952004,-0.12869497252720224,-0.09435556053598243,-0.15939981802542177,-0.12182696005162168,-0.12537654772680037,-0.13141878893286882,-0.11740335038645906,-0.0994462973424185,-0.09210809285554303
