,Distance
180-50dim,154.078483237035
180-60dim,153.20663070960862
180-70dim,153.8875969773694
180-80dim,152.25488323933376
180-90dim,152.7807533500506
190-100dim,152.863231619747
190-10dim,157.47238867903698
190-110dim,153.3559422516235
190-120dim,151.85161213978898
190-130dim,153.08426962458645
190-140dim,153.32472457500086
190-150dim,152.52148572551968
190-160dim,152.25269997514374
190-170dim,152.03077870507175
190-180dim,152.92387611446446
190-20dim,154.8819066850694
190-30dim,154.9411772826996
190-40dim,155.32939411207494
190-50dim,154.710149311065
190-60dim,152.50698386281005
190-70dim,154.18960139912247
190-80dim,152.68858726181392
190-90dim,152.9109518654918
20-10dim,153.0879002944064
200-100dim,154.0119065220611
200-10dim,155.25824866483524
200-110dim,152.4392398718616
200-120dim,153.39274880283128
200-130dim,152.33302729452103
200-140dim,153.1056580112044
200-150dim,152.6800423893746
200-160dim,152.69257517183283
200-170dim,152.1382841180267
200-180dim,153.3124767802606
200-190dim,152.7360658271905
200-20dim,157.0487507516542
200-30dim,155.8070032433306
200-40dim,154.61764230142123
200-50dim,154.34306726877574
200-60dim,154.0742064208171
200-70dim,154.20539706720925
200-80dim,154.05359059274846
200-90dim,152.79278431499722
210-100dim,154.14574887054437
210-10dim,154.6047025665116
210-110dim,154.40602723036838
210-120dim,153.95907386799288
210-130dim,153.13395748417196
210-140dim,152.04063958651392
210-150dim,153.18586630794147
210-160dim,152.2777370619233
210-170dim,153.51417948699537
210-180dim,153.35265334824874
210-190dim,152.92896708068244
210-200dim,153.14355204372742
210-20dim,156.13161306642013
210-30dim,155.22567667505047
210-40dim,154.7720469325405
210-50dim,154.27387490212317
210-60dim,154.21343879409469
210-70dim,153.92784752716238
210-80dim,153.3952946689281
210-90dim,153.04598738835506
220-100dim,153.83892432597995
220-10dim,155.73399667167905
220-110dim,153.2424582498082
220-120dim,153.0274766449981
220-130dim,152.75266924212633
220-140dim,152.9292345400168
220-150dim,153.82265414421192
220-160dim,153.75063877967702
220-170dim,152.95684703287284
220-180dim,153.21706990661653
220-190dim,153.33914054446834
220-200dim,152.8411012632517
220-20dim,155.1036561399876
220-210dim,152.20829695766722
220-30dim,154.7440302712206
220-40dim,155.03187805381265
220-50dim,153.96860066593365
220-60dim,154.80833555076975
220-70dim,153.32434329018008
220-80dim,153.84273617000088
220-90dim,153.56325481467763
230-100dim,153.7570091437079
230-10dim,157.07263415697463
230-110dim,154.6121503026006
230-120dim,153.5091967805196
230-130dim,152.99502114627762
230-140dim,152.6278012108966
230-150dim,153.5485029313274
230-160dim,153.85459892719163
230-170dim,153.03280759067252
230-180dim,152.69825421054435
230-190dim,153.14741647904097
230-200dim,152.89578253203874
230-20dim,154.9785908966944
230-210dim,152.79952065983935
230-220dim,153.38751886975564
230-30dim,155.17266074378134
230-40dim,155.0628770889197
230-50dim,154.43807525250355
230-60dim,154.5877601336603
230-70dim,154.657042496557
230-80dim,154.2524006304733
230-90dim,154.05704744296787
240-100dim,154.2740471932305
240-10dim,157.3162682124526
240-110dim,153.71926414812498
240-120dim,153.74858607345894
240-130dim,154.15329844634044
240-140dim,153.67084810338346
240-150dim,153.3903910361045
240-160dim,152.4667826286408
240-170dim,153.19114734971427
240-180dim,152.8605558565654
240-190dim,153.58413108233282
240-200dim,153.1912904692937
240-20dim,155.95003422359784
240-210dim,153.26541982105869
240-220dim,153.3621489660158
240-230dim,153.31253728627382
240-30dim,155.47606209026404
240-40dim,155.23862794102595
240-50dim,154.37244797419294
240-60dim,154.3130752321336
240-70dim,153.8905800980341
240-80dim,154.58876592342673
240-90dim,154.25520017302802
250-100dim,154.0277861555407
250-10dim,154.7799627676466
250-110dim,153.9418465639132
250-120dim,153.84688004472383
250-130dim,153.56451207793128
250-140dim,153.57235183832677
250-150dim,153.91127426227874
250-160dim,153.63966261336085
250-170dim,153.26651078507433
250-180dim,153.3799823048249
250-190dim,153.28005663283298
250-200dim,153.17469111077196
250-20dim,156.15815498704202
250-210dim,153.32582064659303
250-220dim,152.575589323746
250-230dim,153.49053511226754
250-240dim,154.1457360519579
250-30dim,156.0852424569182
250-40dim,155.37204316397754
250-50dim,155.41820241319544
250-60dim,155.1423197823041
250-70dim,155.21742495196796
250-80dim,155.32247275981788
250-90dim,153.8289457895031
260-100dim,154.53818882099992
260-10dim,156.46760803752494
260-110dim,153.69789173465554
260-120dim,154.20272832707923
260-130dim,153.72970580760963
260-140dim,154.34880478255417
260-150dim,153.35376300680943
260-160dim,154.29959408345323
260-170dim,153.39821176976045
260-180dim,153.45023797460726
260-190dim,153.67954477522906
260-200dim,153.0709143922242
260-20dim,156.74261626315882
260-210dim,153.20399731717197
260-220dim,153.31541823579877
260-230dim,153.40536774214937
260-240dim,153.9043917680294
260-250dim,153.12570857493222
260-30dim,156.9224087797092
260-40dim,155.18848771012222
260-50dim,154.2834836252462
260-60dim,154.53787853433306
260-70dim,154.5031181011485
260-80dim,154.7684139296107
260-90dim,154.1299400897924
