,user,items,ratings
879,77,102,1
880,77,114,1
881,77,122,1
882,77,131,1
883,77,137,1
884,77,156,1
885,77,164,1
886,78,2,1
887,78,34,1
888,78,53,1
889,78,68,1
890,78,79,1
891,78,121,1
892,78,122,1
893,78,129,1
894,78,163,1
895,78,164,1
896,79,12,1
897,79,18,1
898,79,42,1
899,79,47,1
900,79,66,1
901,79,87,1
902,79,99,1
903,79,112,1
904,79,122,1
905,79,126,1
906,79,144,1
907,79,156,1
908,80,0,1
909,80,2,1
910,80,4,1
911,80,44,1
912,80,55,1
913,80,86,1
914,80,91,1
915,80,121,1
916,80,129,1
917,80,163,1
918,81,3,1
919,81,11,1
920,81,40,1
921,81,42,1
922,81,47,1
923,81,62,1
924,81,87,1
925,81,92,1
926,81,123,1
927,81,126,1
928,81,129,1
929,81,151,1
930,82,10,1
931,82,12,1
932,82,21,1
933,82,27,1
934,82,34,1
935,82,46,1
936,82,80,1
937,82,82,1
938,82,108,1
939,82,117,1
940,82,119,1
941,82,143,1
942,82,147,1
943,82,156,1
944,83,5,1
945,83,11,1
946,83,13,1
947,83,30,1
948,83,34,1
949,83,43,1
950,83,57,1
951,83,66,1
952,83,86,1
953,83,102,1
954,83,134,1
955,84,23,1
956,84,58,1
957,84,62,1
958,84,68,1
959,84,80,1
960,84,102,1
961,84,118,1
962,84,129,1
963,84,134,1
964,84,142,1
965,85,22,1
966,85,37,1
967,85,44,1
968,85,50,1
969,85,58,1
970,85,66,1
971,85,87,1
972,85,89,1
973,85,112,1
974,85,119,1
975,86,27,1
976,86,30,1
977,86,40,1
978,86,68,1
979,86,74,1
980,86,78,1
981,86,126,1
982,86,127,1
983,86,144,1
984,86,161,1
985,87,12,1
986,87,22,1
987,87,28,1
988,87,37,1
989,87,44,1
990,87,46,1
991,87,50,1
992,87,58,1
993,87,66,1
994,87,87,1
995,87,99,1
996,87,112,1
997,87,122,1
998,87,156,1
999,87,164,1
1000,88,22,1
1001,88,28,1
1002,88,30,1
1003,88,58,1
1004,88,60,1
1005,88,62,1
1006,88,64,1
1007,88,68,1
1008,88,87,1
1009,88,99,1
1010,88,119,1
1011,88,122,1
1012,88,141,1
1013,88,156,1
1014,88,161,1
1015,89,12,1
1016,89,32,1
1017,89,58,1
1018,89,68,1
1019,89,79,1
1020,89,80,1
1021,89,87,1
1022,89,112,1
1023,89,118,1
1024,89,121,1
1025,89,122,1
1026,89,134,1
1027,89,156,1
1028,89,164,1
1029,90,5,1
1030,90,13,1
1031,90,26,1
1032,90,28,1
1033,90,60,1
1034,90,80,1
1035,90,99,1
1036,90,106,1
1037,90,126,1
1038,90,159,1
1039,91,1,1
1040,91,10,1
1041,91,28,1
1042,91,34,1
1043,91,60,1
1044,91,66,1
1045,91,80,1
1046,91,112,1
1047,91,122,1
1048,91,129,1
1049,91,134,1
1050,92,9,1
1051,92,12,1
1052,92,30,1
1053,92,49,1
1054,92,58,1
1055,92,87,1
1056,92,102,1
1057,92,126,1
1058,92,134,1
1059,92,156,1
1060,93,36,1
1061,93,40,1
