Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_maxabsnorm,A_std_maxabsnorm,B_avg_maxabsnorm,B_std_maxabsnorm,C_avg_maxabsnorm,C_std_maxabsnorm,D_avg_maxabsnorm,D_std_maxabsnorm
arcticmovie,72.625,94.80177863385715,419908.7930152336,1445080.847051207,0.2592962563654242,0.31775367317583825,2704.271821942177,2309.402487760581,0.5332943925233644,0.522296185769469,0.001135147839004917,0.0019236227214476484,0.6003816885095482,0.8336369871114159,0.3426400545690088,0.6217251015543902
artofracingmovie,32.21212121212121,25.5755062460723,10083699.589024223,22962107.516971376,0.32656317688952,0.3452114155001141,3901.6878242191683,2082.9115481307167,0.2365376056964842,0.14090441713164412,0.027259466789113788,0.030566062682308034,0.7561333676551923,0.9056732577084333,0.4943565651035646,0.5607504108329497
avengers,63.70909090909091,71.98678482945772,1709567.363935003,7479738.692924302,0.2627411998693503,0.26814156391658595,3105.3959403203803,3241.1817555333537,0.4678237650200267,0.3966003980520834,0.004621507649004503,0.009956671510497483,0.6083582055125255,0.7034780219175233,0.393463787854572,0.8725737790597382
beachbummovie,33.64485981308411,20.565487983716434,10557472.489571773,13171636.554763962,0.19065556415466034,0.1999194087997236,4604.061084524547,2391.801511969245,0.24705838314013698,0.11330247266633922,0.028540226547379033,0.017533454551762213,0.4414491405907507,0.524495002531948,0.583349546610138,0.6439081302666314
bernadettefilm,35.05555555555556,24.798384555111852,8255672.661522896,12435050.248323254,0.19538465196635715,0.2678772859709604,4734.061698776954,1978.8730578672605,0.2574172971369233,0.13662298168901407,0.02231772503253988,0.01655294598141623,0.4523990006669992,0.7027846802225262,0.599821048180368,0.5327417197245687
blindedbythelightmovie,34.0990099009901,15.943902245739093,9422088.193971574,46377098.97962064,0.2198081136250925,0.2517577031617694,5058.690847604672,2780.5749886703893,0.25039326362542796,0.08784053895647871,0.025470919471582865,0.061734982879379036,0.50894975599011,0.6604944359832071,0.6409526194841489,0.7485716657762245
booksmart,65.2,92.35521100620147,3016540.562397561,4491566.6872811895,0.25652478108508275,0.26504735826352016,3997.886217255943,2530.261603946949,0.4787716955941255,0.5088171882383482,0.008154674437960729,0.005978959414057804,0.5939645383670915,0.6953602738130114,0.5065452150654974,0.681183622608178
breakthroughmovie,42.778761061946895,35.33749657165541,6133070.505461895,14566034.76002952,0.2617181029821375,0.3021658648296213,4441.6177215404605,2780.809150132829,0.31412975412644584,0.19468663921697532,0.016579652168625333,0.01938961095703744,0.6059892988215317,0.7927418702885821,0.562767443026606,0.7486347054844551
brianbanksmovie,31.264705882352942,30.076349405154637,10297295.811867718,21458279.44443366,0.34325343849115697,0.3194153474397913,3766.2704032469055,2255.590559479473,0.22958061729364643,0.16570113770599593,0.02783688573059237,0.028564238455388594,0.7947784587279112,0.8379964430167323,0.477198736465537,0.6072381393411245
brightburnmovie,59.59090909090909,49.55345362172268,540250.9142165811,1485915.9902977063,0.2075671531564025,0.2645344584359853,1972.9329280361585,2133.6408942888493,0.4375834445927904,0.27300732318841525,0.0014604711022832395,0.0019779805170982,0.4806066992171905,0.6940146646099997,0.24997703287009218,0.5744074966199043
brittanyrunsmov,34.22222222222222,27.66979009589009,50759158.32664992,108047709.2561344,0.2584162101962064,0.27952030258155425,6327.54497364966,2118.2921206455,0.2512980269989616,0.15244256000661105,0.1372182479687077,0.14382795879523863,0.5983440053881355,0.7333305089808062,0.8017205731567671,0.5702753811039987
captainmarvelofficial,48.206896551724135,41.974030814092686,3340471.784634978,9325367.523878833,0.3794836910346744,0.3437300103811567,4021.385875857688,3714.507395610676,0.35398922701533075,0.2312496296112879,0.009030364190177196,0.012413484609797519,0.8786669826198622,0.9017867437061997,0.509522698408822,1.0
captivestatemovie,35.32142857142857,37.45693104985337,3835082.525272762,23233192.851232953,0.3950260915789848,0.3629997148443964,2171.7862060700627,1778.2432599630185,0.2593696357047492,0.20636334570817358,0.010367455298348472,0.03092691855379847,0.9146542846082648,0.9523414334780252,0.2751723913706402,0.4787292285551285
childsplaymovie,35.59756097560975,47.791176794645,2813976.902440035,8846657.03065233,0.1457554155379225,0.21460886823456424,2206.9517154157334,2114.2136493123367,0.2613973102347846,0.2632983232274812,0.007607080044400671,0.011776248026359995,0.3374861007123187,0.5630332720762923,0.279627976028729,0.5691773966611671
clarathefilm,31.23404255319149,19.089055309101447,2292385.0013869717,9968953.235481312,0.15708921477510845,0.2007756503116478,2809.31358240141,2409.859409356953,0.22935545266028462,0.1051682882068356,0.006197050225612449,0.01327019522260776,0.3637286914023295,0.5267413796929297,0.3559491880088298,0.648769581722899
