Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_robnorm,A_std_robnorm,B_avg_robnorm,B_std_robnorm,C_avg_robnorm,C_std_robnorm,D_avg_robnorm,D_std_robnorm
artofracingmovie,32.21212121212121,25.5755062460723,10083699.589024223,22962107.516971376,0.32656317688952,0.3452114155001141,3901.6878242191683,2082.9115481307167,-0.4250774388551797,-0.3977441790398045,0.6867273786299662,0.370199093163234,0.9824147153756723,1.4660589133391138,0.17409454371997865,-0.4286197474101323
avengers,63.70909090909091,71.98678482945772,1709567.363935003,7479738.692924302,0.2627411998693503,0.26814156391658595,3105.3959403203803,3241.1817555333537,2.7555422219888874,1.8053021278421002,-0.326466037297004,-0.25674679775574244,0.24531679415234067,0.0,-0.32420425222546106,1.1786111174590228
beachbummovie,33.64485981308411,20.565487983716434,10557472.489571773,13171636.554763962,0.19065556415466034,0.1999194087997236,4604.061084524547,2391.801511969245,-0.2803969630216189,-0.6355592655271048,0.7440495668372686,-0.026258038796047465,-0.587220440138729,-1.2977538757536167,0.613621502353314,0.0
bernadettefilm,35.05555555555556,24.798384555111852,8255672.661522896,12435050.248323254,0.19538465196635715,0.2678772859709604,4734.061698776954,1978.8730578672605,-0.1379424139922441,-0.4346325200535581,0.4655528381166869,-0.05608550017346435,-0.5326028780067584,-0.005027219202094656,0.6949725130366972,-0.5729849150688815
blindedbythelightmovie,34.0990099009901,15.943902245739093,9422088.193971574,46377098.97962064,0.2198081136250925,0.2517577031617694,5058.690847604672,2780.5749886703893,-0.23453608457949957,-0.8549362726417918,0.6066784504125162,1.3183700643010703,-0.250529466021382,-0.31166149409893734,0.8981170097476616,0.5394671530037543
booksmart,65.2,92.35521100620147,3016540.562397561,4491566.6872811895,0.25652478108508275,0.26504735826352016,3997.886217255943,2530.261603946949,2.906096856694995,2.7721487098652853,-0.16833423284473212,-0.37775038458331395,0.17352162926910328,-0.05885943315285807,0.2342930015862198,0.19212903168615275
breakthroughmovie,42.778761061946895,35.33749657165541,6133070.505461895,14566034.76002952,0.2617181029821375,0.3021658648296213,4441.6177215404605,2780.809150132829,0.6419605263446095,0.06563708066743462,0.2087373889039197,0.030206978607375933,0.23350076111819804,0.6472262317726933,0.5119686614528447,0.5397920785067938
brianbanksmovie,31.264705882352942,30.076349405154637,10297295.811867718,21458279.44443366,0.34325343849115697,0.3194153474397913,3766.2704032469055,2255.590559479473,-0.520749113109479,-0.18409856956459697,0.7125705682088832,0.3093028025864491,1.1751752299450071,0.9753539913508962,0.0893538359657702,-0.18900809636268737
brightburnmovie,59.59090909090909,49.55345362172268,540250.9142165811,1485915.9902977063,0.2075671531564025,0.2645344584359853,1972.9329280361585,2133.6408942888493,2.33968094441653,0.7404388235600348,-0.46794263405293623,-0.4994617567529751,-0.3919037533205187,-0.06861605456003257,-1.032870216156972,-0.3582270442404483
brittanyrunsmov,34.22222222222222,27.66979009589009,50759158.32664992,108047709.2561344,0.2584162101962064,0.27952030258155425,6327.54497364966,2118.2921206455,-0.2220938866430158,-0.2983329057086024,5.608085899731228,3.815671100255796,0.19536627481353616,0.21645171100729807,1.6921329931116023,-0.3795252029773466
captainmarvelofficial,48.206896551724135,41.974030814092686,3340471.784634978,9325367.523878833,0.3794836910346744,0.3437300103811567,4021.385875857688,3714.507395610676,1.190103240599815,0.38065947823031304,-0.1291415173773536,-0.18200956439831684,1.5936085828758215,1.437878929411678,0.2489984780869282,1.8354039564738076
captivestatemovie,35.32142857142857,37.45693104985337,3835082.525272762,23233192.851232953,0.3950260915789848,0.3629997148443964,2171.7862060700627,1778.2432599630185,-0.111094087003665,0.16624220171539697,-0.06929814108583275,0.3811764725510522,1.7731121280012103,1.8044362978935058,-0.9084329953115908,-0.851381442531377
childsplaymovie,35.59756097560975,47.791176794645,2813976.902440035,8846657.03065233,0.1457554155379225,0.21460886823456424,2206.9517154157334,2114.2136493123367,-0.08320974885353148,0.6567872290748337,-0.1928425832096977,-0.2013945551629084,-1.1057848556151846,-1.0183240793533836,-0.8864273321620929,-0.38518454305727773
clarathefilm,31.23404255319149,19.089055309101447,2292385.0013869717,9968953.235481312,0.15708921477510845,0.2007756503116478,2809.31358240141,2409.859409356953,-0.5238455502758529,-0.7056424360505458,-0.2559504331627314,-0.15594808621439465,-0.9748876279305553,-1.28146604757262,-0.5094849080188364,0.025057374221208517
coldpursuitmovie,31.719298245614038,25.51487655904552,4337082.169517238,15039809.195643485,0.2395739192226644,0.2838040882286133,4796.309216423155,3599.4162349641283,-0.4748435729204202,-0.40062214345209235,-0.008560775031075336,0.04939208774708884,-0.022248630837125923,0.29793989350234984,0.7339253941609221,1.6757019590620377
detectivepikachumovie,42.525,25.53623650814661,16478140.563755386,44619055.18830659,0.2438619772025071,0.23261337017094216,3127.2763489524214,2089.994194403742,0.6163352858675036,-0.3996082313510111,1.460396257982086,1.2471795156488485,0.02727535401261135,-0.6758339875507463,-0.31051206033376766,-0.41879177495413406
disneyaladdin,35.13043478260869,23.953858448975872,4188247.896799073,15653981.171850855,0.2694227867751646,0.2724837441331717,3360.9247452016066,2538.865616896817,-0.13038097731927714,-0.47472040765280793,-0.026568360907320183,0.0742624807196899,0.3224843161987406,0.08259899142209977,-0.1643009574960671,0.20406807240944957
doramovie,27.045112781954888,12.583474460519971,18383378.747403104,29038629.999438144,0.27799599255384577,0.2698250324875197,4355.485431347979,2796.700214433077,-0.9468510811721158,-1.0144487499476973,1.690912654374903,0.616262912256744,0.4214986754011926,0.032023729811764656,0.45806930951572017,0.5618427268406158
dumbo,38.38636363636363,40.762179389662684,3710185.2400150723,27549769.776527073,0.20114688057519492,0.24277075973456175,2408.2721428041477,2089.762514400497,0.19840847214826307,0.32313542617724533,-0.08440957038845469,0.5559727325358602,-0.46605328290653714,-0.48261535276639106,-0.7604462332769772,-0.4191132571519912
