Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std
blackchristmas,30.236220472440944,25.975899397223937,2311737.111119611,7352134.858968473,0.18361652404602608,0.20828077841273207,2643.5030994361205,2087.520408941189
blindedbythelightmovie,34.0990099009901,15.943902245739093,9422088.193971574,46377098.979620636,0.2198081136250925,0.2517577031617694,5058.690847604672,2780.5749886703898
bombshellmovie,41.3780487804878,30.76053864379096,27432234.613602765,101292546.16662478,0.29994018121624777,0.3205948130750793,5897.115947694765,2415.2562867171478
booksmart,65.2,92.35521100620149,3016540.562397561,4491566.6872811895,0.25652478108508275,0.26504735826352016,3997.886217255943,2530.2616039469494
breakthroughmovie,42.7787610619469,35.337496571655414,6133070.505461895,14566034.760029519,0.2617181029821375,0.3021658648296213,4441.617721540461,2780.8091501328286
brianbanksmovie,31.264705882352942,30.076349405154637,10297295.811867718,21458279.44443366,0.34325343849115697,0.3194153474397913,3766.2704032469064,2255.590559479473
brightburnmovie,59.59090909090909,49.55345362172268,540250.9142165811,1485915.9902977063,0.2075671531564025,0.2645344584359853,1972.9329280361585,2133.6408942888497
brittanyrunsmov,34.22222222222222,27.66979009589009,50759158.32664992,108047709.2561344,0.2584162101962064,0.27952030258155425,6327.544973649661,2118.2921206455
captainmarvelofficial,48.206896551724135,41.974030814092686,3340471.784634978,9325367.523878831,0.37948369103467444,0.3437300103811567,4021.3858758576876,3714.5073956106758
captivestatemovie,35.32142857142857,37.45693104985337,3835082.525272762,23233192.851232953,0.39502609157898483,0.3629997148443964,2171.7862060700622,1778.2432599630183
catsmovie,38.56842105263158,31.74127402065477,11337328.33056408,32794968.805398855,0.1699839256774364,0.2160033480197401,2799.3895100883715,2266.7548679695005
charliesangels,36.10434782608696,39.40367979131401,9053289.238422701,28845236.981728327,0.34061804272520313,0.3091966800923713,4332.3882267192885,2712.682298603034
childsplaymovie,35.59756097560975,47.79117679464499,2813976.902440035,8846657.03065233,0.1457554155379225,0.21460886823456424,2206.9517154157334,2114.2136493123367
clarathefilm,31.23404255319149,19.089055309101443,2292385.001386972,9968953.235481312,0.15708921477510845,0.2007756503116478,2809.31358240141,2409.859409356953
coldpursuitmovie,31.719298245614034,25.51487655904552,4337082.169517238,15039809.195643483,0.23957391922266436,0.2838040882286133,4796.309216423155,3599.4162349641283
countdown,45.40425531914894,75.00486780641785,5027397.434007775,15294564.949128734,0.2325900528104922,0.2965857065452675,3573.1601270428487,3058.443465052876
currentwarmovie,33.97222222222222,25.2976570183344,713198.2738610575,4472345.037066422,0.1658455303915873,0.20431250426770628,2370.3595307230853,2204.243646637298
darkwatersmovie,41.077777777777776,38.50374520824862,2406026.545629584,4795282.906999787,0.19145848764218826,0.22807847675847973,4187.84037893566,2438.786949504432
detectivepikachumovie,42.525,25.536236508146615,16478140.563755384,44619055.18830659,0.2438619772025071,0.23261337017094216,3127.276348952421,2089.994194403742
disneyaladdin,35.130434782608695,23.953858448975872,4188247.896799073,15653981.171850856,0.2694227867751646,0.27248374413317167,3360.9247452016066,2538.865616896817
disneyfrozen,45.13333333333333,31.074677078862067,4434897.055514916,13380600.376524698,0.2460136376244378,0.27587388682617414,3613.1690444569117,3051.9048545650667
disneymaleficent,35.73913043478261,30.563856732655502,3866311.5188293774,10357027.707662608,0.21000969394529231,0.23362619119156516,3567.7075498469817,2946.644254655343
doctorsleepmovie,41.6144578313253,29.0847665693366,781190.9865477505,2291669.076334747,0.12786159054195897,0.21481940540212308,1565.304470745792,1798.0386936503135
dolemiteismyname,30.97902097902098,29.43464219723556,13524105.888939854,90877914.39209884,0.239498393523935,0.22950721023447285,4054.4190309291585,2684.073687953298
dontletgomovie,41.46341463414634,39.69462552610047,503208.69550771086,872811.9825149605,0.29443734498567004,0.27587104078967734,3617.692063036872,2863.925230376257
doramovie,27.045112781954888,12.583474460519973,18383378.747403104,29038629.999438144,0.27799599255384577,0.26982503248751966,4355.485431347979,2796.700214433077
downtonabbey_official,36.83168316831683,26.48783367530287,1013191.1211314803,2041811.8658580265,0.15795632802460627,0.20295196387014722,2512.945419071333,2003.1958529195485
dumbo,38.38636363636363,40.762179389662684,3710185.2400150727,27549769.776527073,0.20114688057519495,0.24277075973456178,2408.2721428041473,2089.7625144004974
escaperoom,31.362903225806452,36.671456483258716,4407837.724115743,15438257.283031322,0.25554999738499534,0.29477243687821447,3386.428236758719,2416.5178869305405
everybodyknowsmovie,47.60606060606061,50.25507023655598,3942240.874471973,7892329.785771757,0.3620539886592287,0.30978198408623264,3215.8458560232216,2229.2666368354753
fastandfuriousmovie,28.905555555555555,14.510416650049187,2150359.750109161,4131281.3168890015,0.2988707722531652,0.2726820333848579,4574.841069119876,2955.4470494049483
fightingwmyfam,34.82644628099174,44.68839361327186,2514152.1732220044,6069934.491496034,0.12164468176321924,0.19049772055569505,2815.8736848535355,2122.8725998833975
fivefeetapartfilm,33.14545454545455,16.82035366812069,2204397.9813831844,3967030.027132131,0.23655405544997982,0.3070704935417809,3608.269688079032,1898.4547754212315
fordvferrari,29.454545454545453,15.863571242377406,13153409.86798483,29523134.45495454,0.38538200982615767,0.3367853651441149,6718.444288472502,3491.2696775977834
freaksthefilm,42.24175824175824,36.39899185276423,7014451.998667586,40032140.49932102,0.2660455378674588,0.30578373510643725,2918.6489475310505,2650.5907968067772
geminimanmovie,45.0,39.1293712230045,1916816.5022980985,4208496.963473974,0.24019338199395435,0.2615082224028025,2778.4902516206894,3040.399577441573
glassmovie,53.79220779220779,42.56311971720023,617594.5678604393,2869991.7701247535,0.20669603425798122,0.27805972591586564,1824.6969041928623,1403.3209384013728
gloriabellmovie,53.93846153846154,57.75701806789089,1350105.3906046208,2549134.68524009,0.12025107339826586,0.16479990813088302,3987.228528211201,2403.062443830597
godzillamovie,58.983050847457626,62.52253601171659,575386.3174135945,2056086.3916191026,0.25794745922706785,0.2704243862321624,1984.6760007019795,1934.8559881348249
goldfinchmovie,46.65277777777778,51.502470200257335,363854.9980242599,761237.1797341998,0.2883192813452363,0.3346719572049397,2832.787924851747,1866.5913040292771
goodboysmovie,30.884955752212388,19.86982067535106,57537036.36173855,89798958.3318889,0.21378266759726963,0.2634044431534112,6729.208043821273,2876.467711450728
goodliarmovie,38.083333333333336,29.817783257859702,2314442.160097364,6793219.28108668,0.2246555203416733,0.2521286580006316,2449.7384466021017,1709.5992350515576
gretafilm,35.455357142857146,36.46987220218735,958774.9880779969,3204829.952245773,0.20956344034090635,0.2427028096179698,2115.54989997811,1832.0223809523563
halathemovie,68.47826086956522,44.681841039896234,1131842.119843224,2235035.265991341,0.07970906707670924,0.13540971197936788,2233.2288774208037,1551.2777417770117
happydeathdaymovie,29.089430894308943,23.297652671488642,3207235.7834482673,5866157.529256794,0.28180524511067373,0.2774824084913634,3351.9298110263094,2201.7553203051434
harrietfilm,40.484848484848484,42.65988668582876,1674278.3606427042,3779056.20167334,0.25094871556149373,0.28130822308746645,2685.970220803834,2635.64241961958
hellboymovie,38.00990099009901,29.245121468258038,2896114.7440571547,9799751.786628887,0.2914916913226804,0.29362842951328694,2791.8930354221616,2825.8719960991516
hersmellmovie,41.4375,45.865249304348055,4502019.763547086,21597979.94874923,0.31197948408664816,0.3352172109335366,3056.0757018266545,2014.6022981460774
highlifemovie,43.45569620253165,56.75258260299911,2364218.731735721,6341243.414837865,0.15537466216402748,0.2214513139632968,2927.7582994885383,2169.200973962149
highstrungmovie,31.04424778761062,35.01058989741746,12764512.689050792,37166649.40443966,0.34523787313432835,0.32197926096991386,3854.155256598908,2212.3924845818906
honeyboymovie,50.01428571428571,73.0902559183102,2430295.048486921,7711740.781498042,0.1689368439341338,0.17904901675322935,3356.7887830950526,2474.671505668136
hotelmumbaifilm,136.1818181818182,181.50961315980342,344585.0452448195,841975.4368819813,0.3711785783851841,0.311131516964631,2373.880031385012,1718.9773791712516
httydragon,46.857142857142854,49.79700288771041,58575097.73329757,188005659.73885706,0.307532699796539,0.2715897309620545,4912.735240341681,3694.808428750296
hustlemovie,34.554545454545455,29.54490768724678,16990909.94716539,24084109.99201288,0.20452090901811804,0.2498641908845735,5941.125529094032,2422.5386434829175
hustlersmovie,32.70873786407767,29.57748785355851,2571726.058458025,8514591.429384954,0.2308710824098172,0.2685836849962718,3660.872834073742,2744.988646245359
isntitromantic,35.55769230769231,32.89225619734042,11849579.16266707,19741397.003022313,0.28765428840217744,0.2943566485449408,4437.26594237005,2379.9370336957477
itmovieofficial,39.46666666666667,41.35139390368573,14796155.742372626,80730390.8248713,0.26946817010132845,0.27562886803328573,2246.222244382861,2375.3626401731362
jayandsilentbob,42.689320388349515,43.70333108679265,7289108.257237703,10416130.019567441,0.18438729010922478,0.1901148081547318,3976.4432929230757,2628.8288705718733
johnwickmovie,36.37864077669903,25.180943829274838,11571453.110453967,37574943.95356789,0.2242909747148901,0.21199232064046897,2449.4406761484956,1706.7611983756835
jojorabbitmovie,31.160377358490567,16.692635814143863,3430555.950603314,7480683.917421457,0.1623687782268217,0.2292770777708811,3252.727505874236,1720.9645781659035
jokermovie,42.666666666666664,23.906711697712232,7288301.972435076,26650632.198054433,0.1946133906350353,0.20872363575199923,3489.503148949881,2487.218757588777
judythefilm,33.67272727272727,28.35011915668693,5660770.267001516,16020019.220344609,0.2877688663546572,0.3326790707319848,3154.897139935724,2361.037593611118
jumanjimovie,38.89523809523809,32.583935220705314,5063650.114675578,13894383.462966716,0.379105613814125,0.3044609309918055,4981.320215570965,3343.296166982595
justmercyfilm,36.37894736842105,23.661729681566936,643348.8564394487,1115712.1505657614,0.28160807302863466,0.33258269177537647,4185.981714390587,2283.2470531864983
knivesout,33.23762376237624,29.676856507643745,4095671.1280866065,7464968.5270091,0.18225810009017368,0.22961269062410783,3270.4301127362587,2140.572392498928
lalloronamovie,76.8,87.20922479238587,283368.8102150076,876022.2200938351,0.1460887264243135,0.19264510227211987,1365.0882831857755,1886.7200913402946
lastblackmansf,51.74193548387097,50.50484980987884,6515634.0879612835,8962655.590893146,0.1689197884659532,0.22398065809295387,5847.38371187024,3295.6856249858215
lastchristmasthemovie,28.176470588235293,12.564145296054834,10631596.603357196,19801923.914988946,0.2367593641451434,0.26955309181542236,3811.3283182845444,1955.8781498093574
latenightmovie,31.173076923076923,16.135509281188295,3938641.817595991,5652875.543156581,0.14111171155162155,0.20834582536971638,4206.696230875968,2190.293101077486
lighthousemovie,842.0,806.3262367057146,14710.405057011849,20803.65433962792,0.25848338907245355,0.2469928599379781,2432.039693154129,2498.031857342872
lionking,50.11538461538461,40.91767243086736,1059579.9377273866,2227675.500602573,0.29105052314747826,0.28637416976177604,3464.23495931003,3053.366981525127
littlethemovie,34.24031007751938,23.39176797948752,77362449.43684708,203675598.0642849,0.22069090585755516,0.2601577249987069,7892.456780465309,2562.313041211415
littlewomenmovie,31.548387096774192,29.054274805875252,4451423.5913215075,10335926.318030505,0.1453544566731018,0.22371021467380806,2479.43768762848,2513.2951715031904
littlewoodsfilm,48.333333333333336,37.071252713899185,1280761.738340941,9446250.180239461,0.14791874222978965,0.19247396780561823,2027.9412483468134,1519.0446482116924
longshotmovie,34.51724137931034,25.338903835060147,12983382.86285467,36695863.06521783,0.22644223346792197,0.2528172806402184,4372.928065818221,2634.080503018969
lordsofchaosmovie,29.413793103448278,20.75143076310196,4884365.383562638,14426940.905108368,0.2921951540851284,0.2855016366645328,3652.934313244011,2866.304251706331
lucyintheskyfilm,39.18478260869565,38.605284991831965,3833620.0730418693,13304406.540442873,0.15667761566265134,0.21586998989730224,3054.5279311862005,2505.14642998674
mamovie2019,28.528,17.38991707858321,4367685.683133501,12697851.578732276,0.27509426433841416,0.27264538088827606,3714.0205619574353,2829.411343539592
marriagestory,37.337078651685395,31.949378436472905,4564126.127029508,6829312.848959133,0.1315396230927246,0.18161447719608956,4113.049620229628,2626.047954432772
meettheaddams,36.23148148148148,31.188675081842902,15174866.59343035,52614679.18690703,0.18616486008080904,0.24285790981110247,3311.201994208913,2288.70786556739
meninblack,34.78947368421053,32.2597662851984,2650245.16219191,6146605.021700235,0.3902580101818214,0.31557003544543355,3607.0255790467213,3456.3935699726153
midsommarmovie,46.851851851851855,55.62398255107458,9025895.852702936,12542667.177526977,0.29917082573434134,0.3328874536066911,4827.837911222678,2601.8915348874375
midwaymovie,39.287234042553195,29.970418869997406,1695850.6551561032,6011989.168407995,0.3168808691937739,0.301644411856026,4564.435660094854,2890.552675067045
missbalamovie,30.928571428571427,25.73342541663409,11735921.88253086,49373291.12350912,0.30026569668346065,0.2881226565928269,3972.4117091794346,3360.3585900667317
missinglinkfilm,53.89705882352941,50.78302741765621,11598548.331867175,30076346.109872527,0.21192713496758192,0.2843129959864023,4039.3220340170637,2773.1656149014925
motherlessbklyn,39.483870967741936,35.42601343682861,762985.8214158425,1793894.1726242008,0.17370000900655638,0.24115338473467385,2910.4409293093136,2253.552404407271
onceinhollywood,39.82795698924731,34.54391739741514,6639516.921928645,24083351.846086394,0.21562343586569177,0.26228734916896923,3865.6562069183583,2567.0801304357083
onthebasisofsex,36.527272727272724,38.52335987681172,963648.8734370995,3393852.387123024,0.20261789394651775,0.20749811696618448,2930.4460126898007,1714.0994258244407
overcomermovie,31.672897196261683,16.74312563687662,18966286.959502812,34420499.85851046,0.2958994389590837,0.3478052294281436,5718.816981777426,2091.551529759077
peanutbutterfalcon,47.68235294117647,49.66836175242294,1463135.7443227533,2299623.75274969,0.20064512316171632,0.261183298093225,5045.82808014546,2876.8290770146314
petsematarymovie,43.825,37.55621619652331,267279.4757903303,882495.8252078237,0.1853398696740483,0.216711661486437,1544.6461785051474,1172.9466422512583
piercingmovie,41.03658536585366,36.07797960987446,629275.9494204093,1592071.0522801017,0.14706598709524232,0.20531266273212,1809.0031990824045,1188.7515508751121
playingwithfire,30.825688073394495,16.867450896798626,6297585.703497196,8848548.229675936,0.24670423721474985,0.24518854607775614,3863.7638884148646,1612.2886474886395
playmobilthemovie,33.509433962264154,20.544128887715658,43896008.21310347,102031280.28102466,0.3056717859393543,0.2897419339166823,4833.985807482949,2746.1048050058735
pomsmovie,29.625954198473284,22.545741757985024,54092293.73290819,72409788.21634473,0.22158748213856866,0.2858923214618203,7059.477105155865,3280.073982701255
queenandslim,38.308510638297875,35.90235771187128,911058.7316196946,2364016.2459548484,0.19313856050318803,0.24453843885959364,2392.258259333337,2136.688503399473
rambomovie,44.0,43.29174792724927,8358917.323997211,27348205.284757297,0.2901007546470297,0.29720016766262725,3808.406146541535,3304.166106898849
readyornotfilm,42.752941176470586,42.60071965212434,2734663.9156138543,8070383.302399817,0.16767023364676265,0.2004055462374788,1926.0613259976353,2357.8752930319606
richardjewellfilm,38.872093023255815,51.43923859965538,1002967.8412683591,2484108.208297282,0.1677672217420487,0.21261225500725253,2261.1396432048487,2229.010427128116
rocketmanmovie,34.18691588785047,23.483989710678273,6926946.223913605,16751049.95378712,0.2622161050649772,0.25741152408496965,3790.6092804511864,2378.7553008953814
