Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_norm,A_std_norm,B_avg_norm,B_std_norm,C_avg_norm,C_std_norm,D_avg_norm,D_std_norm
tt10182822,32.18260869565217,19.331246438004996,37925569.86603511,279980446.1078183,0.18020706533261896,0.28203530691125955,4524.210956744031,3295.4449874107518,0.0013366698142643985,0.005939912179341676,0.03237315820589981,0.038743473735579875,0.23870772311945554,0.6991243813429704,0.2837777044281054,0.34213225792149776
tt10186696,28.176470588235293,12.564145296054834,10631596.603357196,19801923.91498895,0.23675936414514342,0.26955309181542236,3811.3283182845444,1955.8781498093572,0.0007699719803424153,0.0038605849812318894,0.009075100520243582,0.002740174643549516,0.31361860667328306,0.6681827910781287,0.23676195684281723,0.20305877056663185
tt10212512,30.671641791044777,20.38757893709948,4499704.621307288,22000003.46625037,0.19686915028582952,0.24976609876863864,2643.4264954967857,2708.8086218243475,0.0011229323821016005,0.006264491471056158,0.003840935023519746,0.0030443431615545806,0.26077882424006127,0.6191337219244466,0.15973696795650458,0.2812278200978719
tt10233502,85.11111111111111,101.45710034234442,888790.9186064019,1913762.1807559526,0.09387688987706179,0.0949235008963231,2970.748197739833,2442.49161826692,0.008823797533611849,0.031174723675312883,0.0007586693916966081,0.00026482490408530655,0.12435216452100475,0.23530151088470472,0.1813243565413937,0.25357885672628777
tt10298956,69.42857142857143,69.71033361163104,1269934.320813021,2525434.5714328713,0.17153119070627826,0.27801983048697,3599.1679117684384,2941.681891807719,0.0066053864279045586,0.02141989452018136,0.0010840123121155841,0.0003494676480069464,0.22721539747561312,0.68917060108165,0.22276963947917838,0.3054046635813291
tt10322976,56.353846153846156,50.27506822677718,963044.2382310979,2876127.3670830326,0.2728566843319993,0.3057389990269048,3151.294615258747,2368.702245686453,0.004755869937548377,0.01544802043857687,0.0008220518134246018,0.0003979962410083906,0.36143420755782074,0.7578823761039205,0.19323168088280382,0.24591806288873036
tt10344086,75.0,52.40229002629561,11029683.946864631,14906021.95828414,0.2267224927564283,0.28313909865207837,5134.244522536328,2607.378755873502,0.007393506162826885,0.01610165189041535,0.009414906740602424,0.0020626835847685,0.3003234635998371,0.701860520042705,0.324010391550102,0.2706973972897207
tt10379122,109.04761904761905,67.17743115240287,13511662.369765291,26851467.273999695,0.4450780834164077,0.3359265453553958,5441.499505349908,4853.955429011034,0.01220979343179666,0.02064160957022205,0.01153351643933634,0.003715684904264246,0.5895638759035428,0.8327128995667471,0.3442743479672511,0.5039364143907842
tt10443766,29.963414634146343,23.449710134955705,191067744.70254043,323642444.6776539,0.4094402905085748,0.35760607196040256,8521.471464411035,2953.094258865772,0.0010227484181498797,0.00720539253789732,0.16309488161018554,0.044785386727539046,0.5423569787359452,0.8864532833205541,0.5474034135170961,0.30658949261798935
tt10450770,29.70175438596491,20.641437553875726,11172123.770945942,16553598.242035037,0.29300430510003467,0.30527506940479254,5633.967408775835,3032.212834132233,0.0009857346428151304,0.006342494609366761,0.009536492967944375,0.0022906738939641844,0.3881223547230554,0.7567323622506975,0.35696791332787986,0.3148035629189215
tt10465998,35.41747572815534,23.195883578498897,1720788.5318752609,2958388.1658562184,0.3550784890806239,0.3098615818975607,4773.479474560555,2899.4211124949447,0.0017942656562427986,0.007127399250761214,0.0014688601800334597,0.000409379425588036,0.4703476941965934,0.7681016576206466,0.3002173609470888,0.30101716025384617
tt10505100,26.15730337078652,28.588478419569107,1729967.633203479,8465333.726525674,0.3023864731853448,0.30065309016715736,4690.466915655754,3944.0441885460764,0.0004843458591819779,0.008784381891660894,0.0014766954347319662,0.0011714262172804195,0.4005502580210456,0.7452751499942603,0.29474255022044377,0.40946966152502795
tt10541096,35.043010752688176,20.764896960353017,3870629.1640950954,8648442.272898534,0.2130796215801463,0.2508918384202697,3647.1084796242253,3082.3681610145823,0.0017412948187961281,0.006380429981746425,0.0033039580084949184,0.0011967646337869252,0.28225170426403456,0.6219242662932317,0.2259313964301876,0.32001067616117024
tt10550990,34.921052631578945,39.311875964833106,7785231.504193605,11477195.592098143,0.2696985404493606,0.31955800708635806,3420.2813365732864,2314.6380563304688,0.0017240429414996762,0.012079360303286261,0.006645451394535984,0.0015882052913414172,0.3572508347576653,0.7921376811086184,0.21097178438770542,0.24030513254162372
tt10637886,116.625,134.867284302013,682884.6214668767,1079902.867352189,0.3319148471252386,0.3040977671994454,2347.0887037296084,1912.2796056370546,0.013281669951621576,0.04144067104981451,0.0005829083640723781,0.00014943610869926606,0.43966443424716534,0.7538140018334112,0.1401930177099184,0.19853238083269792
tt10675920,40.68292682926829,68.62266532503469,52721030.66260257,143501732.4812503,0.2819824453911919,0.2627766369114363,4348.521303956648,2944.608947372691,0.0025391026173297027,0.02108568668090123,0.04500252131865878,0.01985765677813268,0.37352246636249786,0.6513849479487278,0.27219069147089764,0.30570854974338957
